# Weather station Betul, India, WMO_ID=42860,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42860&lang=en
#
"Local time in Betul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2017 08:30";"13.4";"708.7";"765.2";"";"85";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"7.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.9";"";"";"";"";"";"";
"19.12.2017 17:30";"25.0";"706.0";"759.9";"";"33";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"7.7";"";"";"";"";"";"";
"19.12.2017 08:30";"10.8";"708.6";"765.7";"";"77";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"6.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"6.8";"";"";"";"";"";"";
"18.12.2017 17:30";"21.6";"707.6";"762.4";"";"42";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"22.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.1";"";"";"";"";"";"";
"18.12.2017 08:30";"14.0";"709.5";"766.0";"";"94";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"10.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.0";"";"";"";"";"";"";
"17.12.2017 17:30";"24.6";"707.3";"761.9";"";"57";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"25.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"15.5";"";"";"";"";"";"";
"17.12.2017 08:30";"15.8";"709.3";"765.4";"";"90";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.1";"";"";"";"";"";"";
"16.12.2017 17:30";"27.2";"706.1";"759.7";"";"44";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.8";"";"";"";"";"";"";
"16.12.2017 08:30";"17.4";"708.1";"763.8";"";"77";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.3";"";"";"";"";"";"";
"15.12.2017 17:30";"26.8";"705.7";"759.4";"";"45";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.9";"";"";"";"";"";"";
"15.12.2017 08:30";"17.0";"707.2";"762.8";"";"79";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.3";"";"";"";"";"";"";
"14.12.2017 17:30";"26.4";"705.1";"758.8";"";"48";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.5";"";"";"";"";"";"";
"14.12.2017 08:30";"17.8";"706.6";"762.1";"";"79";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"13.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.1";"";"";"";"";"";"";
"13.12.2017 17:30";"26.2";"704.0";"757.6";"";"50";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"15.1";"";"";"";"";"";"";
"13.12.2017 08:30";"17.2";"705.7";"761.2";"";"77";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.1";"";"";"";"";"";"";
"12.12.2017 17:30";"24.6";"703.7";"757.7";"";"52";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.0";"";"";"";"";"";"";
"12.12.2017 08:30";"16.0";"706.0";"761.6";"";"82";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.9";"";"";"";"";"";"";
"11.12.2017 17:30";"26.4";"703.0";"756.6";"";"24";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"4.5";"";"";"";"";"";"";
"11.12.2017 08:30";"14.2";"705.5";"761.6";"";"83";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"10.12.2017 17:30";"24.4";"703.6";"757.6";"";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"10.12.2017 08:30";"12.8";"706.0";"762.4";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"09.12.2017 17:30";"25.4";"703.1";"756.8";"";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"09.12.2017 08:30";"17.2";"705.4";"760.9";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"08.12.2017 17:30";"26.0";"702.9";"756.4";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"08.12.2017 08:30";"18.0";"705.0";"760.1";"";"79";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.7";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"07.12.2017 17:30";"27.0";"702.2";"755.5";"";"31";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.3";"";"";"";"";"";"";
"07.12.2017 08:30";"18.4";"703.9";"759.2";"";"80";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"14.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.8";"";"";"";"";"";"";
"06.12.2017 20:30";"26.0";"701.7";"755.1";"";"40";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"11.5";"";"";"";"";"";"";
"06.12.2017 17:30";"26.0";"701.7";"755.1";"";"40";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"11.5";"";"";"";"";"";"";
"06.12.2017 08:30";"17.6";"703.9";"759.2";"";"72";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.4";"";"";"";"";"";"";
"05.12.2017 17:30";"24.8";"701.9";"755.7";"";"41";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"25.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.8";"";"";"";"";"";"";
"05.12.2017 08:30";"15.4";"704.2";"760.0";"";"74";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"04.12.2017 17:30";"25.0";"702.1";"755.8";"";"22";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"1.8";"";"";"";"";"";"";
"04.12.2017 08:30";"13.6";"705.4";"761.7";"";"81";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.3";"";"";"";"";"";"";
"03.12.2017 17:30";"23.2";"703.9";"758.1";"";"24";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"25.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"1.7";"";"";"";"";"";"";
"03.12.2017 08:30";"15.0";"706.3";"762.2";"";"80";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"02.12.2017 17:30";"24.6";"703.8";"757.8";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"02.12.2017 08:30";"14.6";"706.0";"761.8";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.7";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"01.12.2017 17:30";"25.0";"702.7";"756.4";"";"39";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.1";"";"";"";"";"";"";
"01.12.2017 08:30";"15.8";"705.6";"761.5";"";"80";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"30.11.2017 17:30";"25.4";"703.1";"756.8";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"30.11.2017 08:30";"16.0";"706.0";"761.7";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"29.11.2017 17:30";"26.0";"703.9";"757.5";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"29.11.2017 08:30";"16.0";"706.2";"761.8";"";"71";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"28.11.2017 17:30";"26.6";"703.0";"756.5";"";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"28.11.2017 08:30";"14.4";"705.5";"761.6";"";"73";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"27.11.2017 17:30";"26.0";"703.1";"756.7";"";"35";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"27.11.2017 08:30";"14.0";"706.3";"762.4";"";"";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.11.2017 17:30";"26.4";"704.7";"758.3";"";"35";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"9.8";"";"";"";"";"";"";
"26.11.2017 08:30";"14.4";"707.5";"763.7";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"8.9";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"25.11.2017 17:30";"26.8";"700.3";"757.6";"";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"25.11.2017 08:30";"13.4";"706.3";"762.7";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"24.11.2017 17:30";"25.6";"703.9";"757.7";"";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"24.11.2017 08:30";"16.4";"706.2";"761.7";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"23.11.2017 17:30";"25.4";"702.1";"755.8";"";"60";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.0";"";"";"";"";"";"";
"23.11.2017 08:30";"18.4";"704.2";"759.4";"";"78";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"13.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.4";"";"";"";"";"";"";
