# Weather station Seoni, India, WMO_ID=42771,selection from 31.05.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42771&lang=en
#
"Local time in Seoni";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.12.2017 17:30";"25.0";"707.0";"759.0";"";"49";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.6";"";"";"";"";"";"";
"13.12.2017 08:30";"16.6";"708.6";"762.2";"";"67";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"12.12.2017 08:30";"16.0";"708.4";"762.1";"";"61";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"11.12.2017 17:30";"23.4";"705.8";"758.0";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"11.12.2017 08:30";"16.0";"708.7";"762.5";"";"53";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"10.12.2017 08:30";"13.0";"708.5";"762.8";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"09.12.2017 17:30";"22.4";"706.0";"758.4";"";"37";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.8";"";"";"";"";"";"";
"09.12.2017 08:30";"18.4";"707.7";"760.9";"";"64";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"15.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.4";"";"";"";"";"";"";
"08.12.2017 17:30";"25.0";"706.1";"758.0";"";"49";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.6";"";"";"";"";"";"";
"08.12.2017 08:30";"19.0";"707.5";"760.6";"";"56";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.1";"";"";"";"";"";"";
"07.12.2017 17:30";"27.0";"705.4";"756.9";"";"55";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.2";"";"";"";"";"";"";
"07.12.2017 08:30";"20.0";"706.8";"759.7";"";"57";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.3";"";"";"";"";"";"";
"06.12.2017 20:30";"25.0";"705.2";"757.0";"";"58";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"16.2";"";"";"";"";"";"";
"06.12.2017 17:30";"25.0";"705.2";"757.0";"";"58";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"16.2";"";"";"";"";"";"";
"06.12.2017 08:30";"17.2";"706.7";"760.1";"";"63";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.0";"";"";"";"";"";"";
"05.12.2017 17:30";"24.4";"704.9";"756.8";"";"54";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.4";"";"";"";"";"";"";
"05.12.2017 08:30";"17.0";"707.6";"761.1";"";"54";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"7.6";"";"";"";"";"";"";
"04.12.2017 08:30";"15.6";"708.0";"761.8";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"03.12.2017 08:30";"17.4";"709.4";"762.9";"";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"02.12.2017 17:30";"24.0";"707.0";"759.1";"";"43";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.5";"";"";"";"";"";"";
"02.12.2017 08:30";"15.0";"709.2";"763.2";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"01.12.2017 17:30";"24.0";"705.7";"757.8";"";"48";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.3";"";"";"";"";"";"";
"01.12.2017 08:30";"17.4";"708.0";"761.4";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"30.11.2017 17:30";"23.4";"705.5";"757.6";"";"52";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.9";"";"";"";"";"";"";
"30.11.2017 08:30";"21.0";"708.7";"761.5";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"29.11.2017 17:30";"26.0";"707.0";"758.8";"";"44";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"29.11.2017 08:30";"17.4";"708.9";"762.4";"";"61";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"28.11.2017 17:30";"25.2";"706.0";"757.8";"";"42";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.3";"";"";"";"";"";"";
"28.11.2017 08:30";"15.0";"708.0";"761.9";"";"60";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"27.11.2017 17:30";"24.0";"706.4";"758.5";"";"49";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.7";"";"";"";"";"";"";
"27.11.2017 08:30";"14.4";"709.2";"763.3";"";"56";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"5.6";"";"";"";"";"";"";
"26.11.2017 08:30";"14.4";"709.7";"763.9";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"25.11.2017 17:30";"23.0";"706.3";"758.6";"";"48";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.4";"";"";"";"";"";"";
"25.11.2017 08:30";"17.0";"709.1";"762.7";"";"46";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"24.11.2017 17:30";"24.0";"706.4";"758.5";"";"48";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.3";"";"";"";"";"";"";
"24.11.2017 08:30";"16.0";"708.2";"761.9";"";"63";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.0";"";"";"";"";"";"";
"23.11.2017 17:30";"25.0";"705.0";"756.8";"";"51";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.0";"";"";"";"";"";"";
