# Weather station Una, India, WMO_ID=42077,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42077&lang=en
#
"Local time in Una";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 17:30";"20.2";"";"";"";"63";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.8";"";"";"";"";"";"";
"25.12.2017 08:30";"7.0";"";"";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"4.2";"";"";"";"";"";"";
"24.12.2017 17:30";"16.4";"";"";"";"70";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"22.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.9";"";"";"";"";"";"";
"24.12.2017 08:30";"7.2";"";"";"";"85";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"4.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.9";"";"";"";"";"";"";
"23.12.2017 17:30";"20.6";"";"";"";"52";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.3";"";"";"";"";"";"";
"23.12.2017 08:30";"8.0";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.3";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"22.12.2017 17:30";"21.6";"";"";"";"61";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.7";"";"";"";"";"";"";
"22.12.2017 08:30";"9.0";"";"";"";"87";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"7.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"6.9";"";"";"";"";"";"";
"21.12.2017 17:30";"21.8";"";"";"";"68";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.5";"";"";"";"";"";"";
"21.12.2017 08:30";"10.4";"";"";"";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"7.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"7.9";"";"";"";"";"";"";
"20.12.2017 17:30";"22.6";"";"";"";"65";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"20.12.2017 08:30";"9.0";"";"";"";"87";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"6.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"19.12.2017 17:30";"21.4";"";"";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"19.12.2017 08:30";"7.6";"";"";"";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"5.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.4";"";"";"";"";"";"";
"18.12.2017 17:30";"22.0";"";"";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"18.12.2017 08:30";"8.0";"";"";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.7";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"17.12.2017 17:30";"20.6";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"17.12.2017 08:30";"6.4";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.4";"";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"16.12.2017 17:30";"20.4";"";"";"";"48";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"23.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"16.12.2017 08:30";"7.2";"";"";"";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"4.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"4.9";"";"";"";"";"";"";
"15.12.2017 08:30";"9.6";"";"";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.3";"";"";"";"";"";"";"0.2";"7.5";"";"";"";"";"";"";
"14.12.2017 17:30";"18.0";"";"";"";"62";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"21.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.6";"";"";"";"";"";"";
"14.12.2017 08:30";"12.6";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"8.7";"";"";"";"";"";"";"0.2";"10.3";"";"";"";"";"";"";
"13.12.2017 17:30";"18.2";"";"";"";"64";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"20.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.2";"";"";"";"";"";"";
"13.12.2017 08:30";"13.0";"";"";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"10.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.1";"";"";"";"";"";"";
"12.12.2017 17:30";"14.0";"";"";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"15.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.6";"";"";"";"";"";"";
"12.12.2017 08:30";"7.8";"";"";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"5.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.1";"";"";"";"";"";"";
"11.12.2017 17:30";"15.2";"";"";"";"69";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"16.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"11.12.2017 08:30";"12.2";"";"";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.9";"";"";"";"";"";"";
"10.12.2017 17:30";"21.2";"";"";"";"48";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.7";"";"";"";"";"";"";
"10.12.2017 08:30";"9.4";"";"";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"7.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.1";"";"";"";"";"";"";
"09.12.2017 17:30";"21.0";"";"";"";"48";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.5";"";"";"";"";"";"";
"09.12.2017 08:30";"7.4";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"08.12.2017 17:30";"20.6";"";"";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"08.12.2017 08:30";"9.2";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"07.12.2017 17:30";"19.8";"";"";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"2.0";"9.3";"";"";"";"";"";"";
"07.12.2017 08:30";"8.0";"";"";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"5.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.3";"";"";"";"";"";"";
"06.12.2017 08:30";"8.4";"";"";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"6.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.8";"";"";"";"";"";"";
"05.12.2017 17:30";"20.0";"";"";"";"48";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.6";"";"";"";"";"";"";
"05.12.2017 08:30";"6.8";"";"";"";"83";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"4.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"4.1";"";"";"";"";"";"";
"04.12.2017 08:30";"8.4";"";"";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"5.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"5.8";"";"";"";"";"";"";
"03.12.2017 17:30";"22.0";"";"";"";"43";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.9";"";"";"";"";"";"";
"03.12.2017 08:30";"8.2";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.2";"";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"02.12.2017 17:30";"21.4";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"02.12.2017 08:30";"7.0";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.8";"";"";"";"";"";"";"2.0";"4.7";"";"";"";"";"";"";
"01.12.2017 17:30";"21.6";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"2.0";"7.8";"";"";"";"";"";"";
"01.12.2017 08:30";"8.4";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.4";"";"";"";"";"";"";"2.0";"5.8";"";"";"";"";"";"";
"30.11.2017 17:30";"21.0";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"30.11.2017 08:30";"9.4";"";"";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.9";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"29.11.2017 17:30";"20.6";"";"";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"2.0";"10.3";"";"";"";"";"";"";
"29.11.2017 08:30";"9.2";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.7";"";"";"";"";"";"";"2.0";"6.6";"";"";"";"";"";"";
"28.11.2017 17:30";"20.2";"";"";"";"48";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"25.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.8";"";"";"";"";"";"";
"28.11.2017 08:30";"8.0";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"2.0";"5.8";"";"";"";"";"";"";
"27.11.2017 17:30";"20.0";"";"";"";"51";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.5";"";"";"";"";"";"";
"27.11.2017 08:30";"9.0";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.6";"";"";"";"";"";"";"2.0";"6.4";"";"";"";"";"";"";
"26.11.2017 17:30";"20.8";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"26.11.2017 08:30";"8.2";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.2";"";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"25.11.2017 17:30";"21.6";"";"";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"25.11.2017 08:30";"8.4";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.7";"";"";"";"";"";"";"2.0";"5.8";"";"";"";"";"";"";
"24.11.2017 17:30";"22.2";"";"";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"24.11.2017 08:30";"8.2";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.8";"";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"23.11.2017 17:30";"21.2";"";"";"";"41";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"7.2";"";"";"";"";"";"";
"23.11.2017 08:30";"9.0";"";"";"";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"6.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"6.9";"";"";"";"";"";"";
"22.11.2017 17:30";"12.4";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"22.11.2017 08:30";"8.6";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.8";"";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"21.11.2017 17:30";"20.4";"";"";"";"48";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"24.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.1";"";"";"";"";"";"";
"21.11.2017 08:30";"10.2";"";"";"";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"6.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"7.7";"";"";"";"";"";"";
"20.11.2017 17:30";"19.0";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.3";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"20.11.2017 08:30";"9.8";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.6";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"19.11.2017 17:30";"20.2";"";"";"";"48";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.8";"";"";"";"";"";"";
"19.11.2017 08:30";"11.2";"";"";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"8.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.2";"";"";"";"";"";"";
"18.11.2017 17:30";"21.4";"";"";"";"44";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"25.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.5";"";"";"";"";"";"";
"18.11.2017 08:30";"13.8";"";"";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"10.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.9";"";"";"";"";"";"";
"17.11.2017 17:30";"19.2";"";"";"";"62";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"23.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.6";"";"";"";"";"";"";
"17.11.2017 08:30";"13.6";"";"";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.4";"";"";"";"";"";"";
"16.11.2017 17:30";"21.6";"";"";"";"46";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"16.11.2017 08:30";"15.4";"";"";"";"85";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"9.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.9";"";"";"";"";"";"";
"15.11.2017 17:30";"17.6";"";"";"";"60";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"20.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"9.7";"";"";"";"";"";"";
