# Weather station Purulia, India, WMO_ID=42705,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42705&lang=en
#
"Local time in Purulia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 08:30";"13.4";"739.6";"762.4";"";"67";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"25.12.2017 17:30";"21.0";"737.1";"759.3";"";"43";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"24.3";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"25.12.2017 08:30";"11.0";"738.8";"761.8";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"24.12.2017 17:30";"22.0";"736.9";"759.0";"";"44";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"24.12.2017 08:30";"14.0";"739.3";"762.1";"";"67";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"11.1";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"23.12.2017 17:30";"22.0";"736.9";"759.0";"";"46";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"25.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.9";"";"";"";"";"";"";
"23.12.2017 08:30";"14.0";"738.5";"761.2";"";"78";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"12.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.2";"";"";"";"";"";"";
"22.12.2017 17:30";"21.4";"737.6";"759.7";"";"65";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"32.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.6";"";"";"";"";"";"";
"22.12.2017 08:30";"16.0";"740.1";"762.7";"";"79";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.4";"";"";"";"";"";"";
"21.12.2017 17:30";"25.4";"737.6";"759.4";"";"53";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"32.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.0";"";"";"";"";"";"";
"21.12.2017 08:30";"19.0";"738.3";"760.6";"";"75";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"10.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.5";"";"";"";"";"";"";
"20.12.2017 17:30";"24.0";"743.3";"765.4";"";"54";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"31.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.2";"";"";"";"";"";"";
"20.12.2017 08:30";"15.6";"742.9";"765.7";"";"73";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"11.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.7";"";"";"";"";"";"";
"19.12.2017 17:30";"24.0";"738.3";"760.3";"";"46";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"11.7";"";"";"";"";"";"";
"19.12.2017 08:30";"13.0";"740.1";"763.0";"";"66";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"9.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"6.8";"";"";"";"";"";"";
"18.12.2017 17:30";"21.0";"738.3";"760.5";"";"35";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"24.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"4.7";"";"";"";"";"";"";
"18.12.2017 08:30";"13.4";"733.3";"755.9";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"10.0";"4.8";"";"";"";"";"";"";
"17.12.2017 17:30";"22.0";"738.2";"760.3";"";"29";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"10.0";"3.3";"";"";"";"";"";"";
"17.12.2017 08:30";"17.0";"742.8";"765.4";"";"46";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"5.2";"";"";"";"";"";"";
"16.12.2017 17:30";"26.0";"739.1";"760.9";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"16.12.2017 08:30";"17.4";"739.9";"762.4";"";"67";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"15.12.2017 17:30";"24.4";"739.2";"761.2";"";"58";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.5";"";"";"";"";"";"";
"15.12.2017 08:30";"27.0";"740.6";"762.4";"";"38";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"14.12.2017 17:30";"24.0";"736.8";"758.7";"";"53";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.8";"";"";"";"";"";"";
"14.12.2017 08:30";"17.0";"738.3";"760.8";"";"74";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.3";"";"";"";"";"";"";
"13.12.2017 17:30";"28.0";"736.0";"757.6";"";"66";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"30.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.1";"";"";"";"";"";"";
"12.12.2017 17:30";"28.0";"736.1";"757.7";"";"45";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.8";"";"";"";"";"";"";
"11.12.2017 08:30";"20.0";"736.8";"759.0";"";"73";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"13.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.9";"";"";"";"";"";"";
"10.12.2017 17:30";"21.0";"736.0";"758.1";"";"82";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"22.3";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.8";"";"";"";"";"";"";
"10.12.2017 08:30";"19.0";"735.4";"757.7";"";"72";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"17.1";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"09.12.2017 17:30";"22.4";"732.4";"754.3";"";"63";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"24.3";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.0";"";"";"";"";"";"";
"08.12.2017 17:30";"24.0";"738.4";"760.4";"";"53";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"26.3";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"08.12.2017 08:30";"16.6";"738.0";"760.5";"";"74";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"13.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.9";"";"";"";"";"";"";
"07.12.2017 17:30";"25.0";"736.4";"758.2";"";"47";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.0";"";"";"";"";"";"";
"07.12.2017 08:30";"14.4";"736.2";"758.8";"";"74";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"12.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.8";"";"";"";"";"";"";
"06.12.2017 20:30";"22.4";"735.5";"757.5";"";"41";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"24.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.5";"";"";"";"";"";"";
"06.12.2017 17:30";"22.4";"735.5";"757.5";"";"41";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"24.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.5";"";"";"";"";"";"";
"06.12.2017 08:30";"14.0";"737.0";"759.7";"";"57";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"5.6";"";"";"";"";"";"";
"05.12.2017 17:30";"22.0";"739.8";"762.0";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"7.4";"";"";"";"";"";"";
"05.12.2017 08:30";"13.0";"738.3";"761.1";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"04.12.2017 17:30";"24.0";"735.3";"757.2";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"04.12.2017 08:30";"13.0";"737.7";"760.5";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"03.12.2017 17:30";"20.0";"737.2";"759.4";"";"48";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"24.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.6";"";"";"";"";"";"";
"03.12.2017 08:30";"15.0";"739.8";"762.5";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.1";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"02.12.2017 17:30";"22.0";"737.6";"759.7";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"10.0";"7.4";"";"";"";"";"";"";
"02.12.2017 08:30";"13.0";"739.8";"762.7";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"01.12.2017 17:30";"22.0";"736.7";"758.8";"";"33";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"10.0";"5.1";"";"";"";"";"";"";
"01.12.2017 08:30";"14.1";"738.6";"761.3";"";"59";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"30.11.2017 17:30";"24.6";"737.3";"759.2";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"30.11.2017 08:30";"16.0";"739.1";"761.7";"";"83";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"12.1";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"29.11.2017 17:30";"25.0";"736.1";"757.9";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"29.11.2017 08:30";"13.6";"740.1";"762.9";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"28.11.2017 17:30";"24.0";"737.0";"758.9";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"28.11.2017 08:30";"14.0";"737.7";"760.4";"";"67";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"27.11.2017 17:30";"24.0";"736.0";"757.9";"";"36";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"27.11.2017 08:30";"14.0";"738.7";"761.5";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"26.11.2017 17:30";"26.0";"736.1";"757.8";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"26.11.2017 08:30";"14.4";"739.9";"762.7";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"25.11.2017 08:30";"12.4";"737.7";"760.5";"";"72";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"24.11.2017 17:30";"24.0";"736.0";"757.9";"";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"25.9";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"24.11.2017 08:30";"12.6";"737.8";"760.6";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"23.11.2017 17:30";"22.4";"735.8";"757.8";"";"48";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.9";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"23.11.2017 08:30";"13.0";"737.2";"760.0";"";"77";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"22.11.2017 17:30";"22.6";"735.2";"757.2";"";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"22.11.2017 08:30";"16.0";"736.2";"758.7";"";"62";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"12.1";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"21.11.2017 08:30";"18.0";"738.2";"760.6";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"20.11.2017 17:30";"27.4";"735.8";"757.4";"";"48";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"30.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.3";"";"";"";"";"";"";
"20.11.2017 08:30";"19.0";"737.7";"760.0";"";"72";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"16.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.8";"";"";"";"";"";"";
"19.11.2017 17:30";"29.0";"735.7";"757.2";"";"52";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"29.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.1";"";"";"";"";"";"";
"18.11.2017 17:30";"25.0";"735.8";"757.6";"";"76";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"26.1";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"18.11.2017 08:30";"22.0";"736.7";"758.8";"";"91";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"19.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.5";"";"";"";"";"";"";
"17.11.2017 17:30";"26.0";"736.0";"757.7";"";"74";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.9";"";"";"";"";"";"";
"17.11.2017 08:30";"21.0";"736.5";"758.6";"";"91";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"19.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"16.11.2017 17:30";"23.0";"732.0";"753.9";"";"74";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"23.7";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.2";"";"";"";"";"";"";
"16.11.2017 08:30";"21.0";"736.5";"758.6";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"19.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"15.11.2017 17:30";"24.0";"735.7";"757.6";"";"75";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"25.3";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.3";"";"";"";"";"";"";
