# Weather station Sheopur, India, WMO_ID=42456,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42456&lang=en
#
"Local time in Sheopur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"20.4";"742.9";"763.5";"";"56";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"23.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.4";"";"";"";"";"";"";
"26.12.2017 08:30";"11.4";"744.8";"766.1";"";"77";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"9.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.4";"";"";"";"";"";"";
"25.12.2017 17:30";"23.0";"742.8";"763.2";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"25.12.2017 08:30";"12.0";"744.1";"765.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"10.0";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"24.12.2017 08:30";"10.4";"743.2";"764.5";"";"90";"Wind blowing from the north-northwest";"0";"";"";"40%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"8.8";"";"";"";"";"";"";
"23.12.2017 17:30";"22.0";"741.2";"761.6";"";"46";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"22.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"23.12.2017 08:30";"13.4";"743.2";"764.3";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.5";"";"";"";"";"";"";
"22.12.2017 17:30";"22.6";"743.4";"763.9";"";"40";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.3";"";"";"";"";"";"";
"22.12.2017 08:30";"12.0";"746.1";"767.4";"";"88";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.1";"";"";"";"";"";"";
"21.12.2017 17:30";"22.4";"744.3";"764.8";"";"58";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"23.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.8";"";"";"";"";"";"";
"21.12.2017 08:30";"13.2";"746.9";"768.1";"";"67";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.2";"";"";"";"";"";"";
"20.12.2017 17:30";"21.8";"745.1";"765.7";"";"52";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"22.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"11.4";"";"";"";"";"";"";
"20.12.2017 08:30";"15.0";"746.6";"767.7";"";"64";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.3";"";"";"";"";"";"";
"19.12.2017 17:30";"23.4";"743.5";"763.9";"";"61";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.4";"";"";"";"";"";"";
"19.12.2017 08:30";"15.0";"746.1";"767.2";"";"93";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.9";"";"";"";"";"";"";
"18.12.2017 17:30";"24.0";"744.9";"765.3";"";"33";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.7";"";"";"";"";"";"";
"18.12.2017 08:30";"11.0";"747.0";"768.4";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"4.3";"";"";"";"";"";"";
"17.12.2017 17:30";"21.4";"745.2";"765.8";"";"39";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"21.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.0";"";"";"";"";"";"";
"17.12.2017 08:30";"10.4";"747.8";"769.3";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"16.12.2017 17:30";"20.8";"745.1";"765.7";"";"46";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"21.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.7";"";"";"";"";"";"";
"16.12.2017 08:30";"13.4";"746.9";"768.1";"";"67";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"15.12.2017 17:30";"21.4";"744.2";"764.8";"";"43";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"22.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.1";"";"";"";"";"";"";
"15.12.2017 08:30";"13.8";"745.3";"766.4";"";"69";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.2";"";"";"";"";"";"";
"14.12.2017 17:30";"20.4";"742.7";"763.3";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"21.0";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"14.12.2017 08:30";"14.4";"744.3";"765.4";"";"85";"Wind blowing from the north-east";"1";"";"";"no clouds";"Cloud development not observed or not observable. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"13.4";"";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"13.12.2017 17:30";"20.6";"741.8";"762.4";"";"";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"21.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"";"";"";"";"";"";"";
"13.12.2017 08:30";"15.0";"744.4";"765.4";"";"89";"Wind blowing from the north-east";"2";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Drizzle.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"13.8";"";"";"";"";"";"";"2.0";"13.2";"";"";"";"";"";"";
"12.12.2017 17:30";"21.0";"741.2";"761.7";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"12.12.2017 08:30";"15.4";"742.1";"763.0";"";"96";"Wind blowing from the south-west";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Drizzle.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"14.4";"";"";"";"";"";"";"2.0";"14.7";"";"";"";"";"";"";
"11.12.2017 17:30";"24.4";"738.8";"759.0";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"11.12.2017 08:30";"15.0";"742.1";"763.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"10.12.2017 17:30";"24.0";"740.4";"760.7";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"10.12.2017 08:30";"14.0";"742.7";"763.8";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"09.12.2017 17:30";"25.0";"740.5";"760.7";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"09.12.2017 08:30";"14.0";"742.9";"764.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"08.12.2017 17:30";"22.6";"740.5";"760.9";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"08.12.2017 08:30";"14.0";"743.7";"764.8";"";"93";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.9";"";"";"";"";"";"";
"07.12.2017 17:30";"21.0";"741.3";"761.8";"";"62";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"21.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.4";"";"";"";"";"";"";
"07.12.2017 08:30";"16.2";"742.2";"763.1";"";"91";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"14.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"14.8";"";"";"";"";"";"";
"06.12.2017 20:30";"15.2";"741.5";"762.4";"";"";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"16.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"1.0";"";"";"";"";"";"";"";
"06.12.2017 17:30";"15.2";"741.5";"762.4";"";"";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"16.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"1.0";"";"";"";"";"";"";"";
"06.12.2017 08:30";"16.2";"742.7";"763.6";"";"87";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"1.0";"14.1";"";"";"";"";"";"";
"05.12.2017 17:30";"16.4";"741.4";"762.2";"";"85";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"16.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"1.0";"13.9";"";"";"";"";"";"";
"05.12.2017 08:30";"15.0";"741.8";"762.8";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"16.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"1.0";"14.3";"";"";"";"";"";"";
"04.12.2017 17:30";"23.4";"739.6";"759.9";"";"45";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"24.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"10.8";"";"";"";"";"";"";
"04.12.2017 08:30";"15.2";"742.7";"763.7";"";"67";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.0";"";"";"";"";"";"";
"03.12.2017 17:30";"22.4";"741.2";"761.6";"";"50";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"22.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"11.3";"";"";"";"";"";"";
"03.12.2017 08:30";"16.0";"743.4";"764.3";"";"56";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.2";"";"";"";"";"";"";
"02.12.2017 17:30";"23.6";"741.2";"761.5";"";"41";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.7";"";"";"";"";"";"";
"02.12.2017 08:30";"15.0";"743.5";"764.5";"";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"01.12.2017 17:30";"25.0";"740.1";"760.3";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"01.12.2017 08:30";"15.4";"740.6";"761.5";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"30.11.2017 17:30";"25.0";"740.2";"760.4";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.11.2017 08:30";"16.4";"742.7";"763.6";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"29.11.2017 17:30";"26.0";"740.9";"761.1";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"29.11.2017 08:30";"15.0";"742.7";"763.7";"";"64";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"11.4";"";"";"";"";"";"";"2.0";"8.3";"";"";"";"";"";"";
"28.11.2017 17:30";"24.4";"739.5";"759.7";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"28.11.2017 08:30";"15.4";"742.3";"763.2";"";"55";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"27.11.2017 17:30";"25.0";"740.1";"760.3";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"27.11.2017 08:30";"15.4";"742.9";"763.9";"";"55";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"26.11.2017 17:30";"25.4";"741.7";"761.9";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"26.11.2017 08:30";"15.0";"745.0";"766.0";"";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"25.11.2017 17:30";"24.6";"741.1";"761.4";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"8.7";"";"";"";"";"";"";
"25.11.2017 08:30";"15.2";"743.5";"764.5";"";"51";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"24.11.2017 17:30";"24.0";"741.0";"761.3";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"23.11.2017 17:30";"22.4";"740.1";"760.5";"";"41";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"25.0";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"23.11.2017 08:30";"15.8";"742.1";"763.0";"";"56";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"11.6";"";"";"";"";"";"";"2.0";"6.9";"";"";"";"";"";"";
"22.11.2017 17:30";"23.4";"740.2";"760.5";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"22.11.2017 08:30";"17.0";"742.6";"763.4";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"21.11.2017 17:30";"23.4";"741.0";"761.3";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"21.11.2017 08:30";"16.0";"743.5";"764.4";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
