# Weather station Barmer, India, WMO_ID=42435,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42435&lang=en
#
"Local time in Barmer";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.08.2017 17:30";"29.0";"732.4";"748.6";"0.0";"";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"31.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"";"";"";"";"";"";"";
"30.08.2017 14:30";"28.8";"732.4";"748.6";"-1.3";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.9";"";"";"";"";"";"";
"30.08.2017 11:30";"30.6";"733.7";"749.8";"0.6";"78";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.4";"";"";"";"";"";"";
"30.08.2017 08:30";"29.0";"733.1";"749.3";"0.8";"85";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"27.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"30.08.2017 05:30";"28.2";"732.3";"748.5";"";"91";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"29.08.2017 20:30";"28.4";"733.0";"749.2";"1.1";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.7";"";"";"";"";"";"";
"29.08.2017 17:30";"31.0";"731.9";"747.9";"-0.5";"84";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"36.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.0";"";"";"";"";"";"";
"29.08.2017 14:30";"34.6";"732.4";"748.3";"-2.1";"61";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"29.08.2017 11:30";"34.2";"734.5";"750.4";"0.0";"64";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"29.08.2017 08:30";"29.0";"734.5";"750.7";"1.2";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"29.08.2017 05:30";"28.6";"733.3";"749.5";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"28.08.2017 20:30";"33.8";"732.8";"748.7";"1.1";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"28.08.2017 17:30";"37.8";"731.7";"747.4";"";"49";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"38.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"28.08.2017 14:30";"37.8";"733.4";"749.1";"-1.9";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"28.08.2017 11:30";"35.2";"735.3";"751.2";"-0.4";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"27.6";"";"";"";"";"";"";
"28.08.2017 08:30";"29.4";"735.7";"751.9";"1.1";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"28.08.2017 05:30";"28.0";"734.6";"750.9";"";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"27.08.2017 20:30";"32.4";"734.0";"750.0";"1.1";"62";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"27.08.2017 17:30";"34.2";"732.9";"748.8";"-1.1";"56";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"37.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"27.08.2017 14:30";"37.4";"734.0";"749.8";"-1.6";"53";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"27.08.2017 11:30";"34.2";"735.6";"751.6";"-0.1";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"27.08.2017 08:30";"29.4";"735.7";"751.9";"0.9";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.7";"";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"27.08.2017 05:30";"28.4";"734.8";"751.0";"";"89";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"26.08.2017 20:30";"30.4";"735.1";"751.2";"2.3";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"26.08.2017 17:30";"35.6";"732.8";"748.6";"";"56";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"36.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"26.08.2017 11:30";"33.8";"735.8";"751.8";"-0.4";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"26.08.2017 08:30";"28.8";"736.2";"752.5";"1.5";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"26.08.2017 05:30";"27.8";"734.7";"751.0";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"25.08.2017 20:30";"31.6";"734.7";"750.8";"1.2";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"25.08.2017 17:30";"35.0";"733.5";"749.4";"-1.9";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"36.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"25.08.2017 14:30";"34.8";"735.4";"751.3";"-1.6";"59";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"25.08.2017 11:30";"31.6";"737.0";"753.1";"0.4";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"25.08.2017 08:30";"29.0";"736.6";"752.9";"1.1";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"25.08.2017 05:30";"27.4";"735.5";"751.8";"";"86";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"24.08.2017 20:30";"31.8";"736.1";"752.2";"0.7";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"24.08.2017 17:30";"34.2";"735.4";"751.3";"-1.7";"63";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"24.08.2017 14:30";"34.6";"737.1";"753.1";"-1.6";"61";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"24.08.2017 11:30";"32.4";"738.7";"754.8";"0.3";"68";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"24.08.2017 08:30";"29.0";"738.4";"754.7";"1.5";"78";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"27.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"24.08.2017 05:30";"28.0";"736.9";"753.2";"";"87";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"23.08.2017 20:30";"31.6";"736.7";"752.8";"1.2";"75";"Wind blowing from the south";"2";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"26.6";"";"";"";"";"";"";
"23.08.2017 17:30";"35.4";"735.5";"751.4";"-1.2";"63";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"36.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"23.08.2017 14:30";"36.0";"736.7";"752.6";"-1.6";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"23.08.2017 11:30";"33.6";"738.3";"754.3";"0.8";"70";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"23.08.2017 08:30";"28.4";"737.5";"753.8";"1.3";"91";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"23.08.2017 05:30";"27.2";"736.2";"752.5";"";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.1";"";"";"";"";"";"";
"22.08.2017 20:30";"31.4";"734.8";"750.9";"1.9";"79";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"22.08.2017 17:30";"32.2";"732.9";"748.9";"-0.8";"71";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"37.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.4";"";"";"";"";"";"";
"22.08.2017 14:30";"36.8";"733.7";"749.5";"-1.7";"58";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"22.08.2017 11:30";"35.0";"735.4";"751.3";"0.3";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.6";"";"";"";"";"";"";
"22.08.2017 08:30";"29.6";"735.1";"751.3";"0.9";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"22.08.2017 05:30";"28.6";"734.2";"750.4";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"21.08.2017 20:30";"31.2";"732.9";"748.9";"0.6";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"25.6";"";"";"";"";"";"";
"21.08.2017 17:30";"32.8";"732.3";"748.3";"-0.5";"73";"Calm, no wind";"0";"";"";"50%.";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"38.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"21.08.2017 14:30";"37.0";"732.8";"748.5";"-2.2";"57";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"21.08.2017 11:30";"36.2";"735.0";"750.8";"0.0";"57";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.3";"";"";"";"";"";"";
"21.08.2017 08:30";"31.0";"735.0";"751.1";"1.0";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.8";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"21.08.2017 05:30";"29.4";"734.0";"750.2";"";"75";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"20.08.2017 20:30";"33.4";"734.2";"750.2";"1.4";"65";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"20.08.2017 17:30";"36.4";"732.8";"748.6";"-1.5";"57";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"38.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"20.08.2017 14:30";"37.0";"734.3";"750.1";"-2.1";"53";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"20.08.2017 11:30";"34.0";"736.4";"752.4";"-0.5";"62";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"20.08.2017 08:30";"29.6";"736.9";"753.1";"0.9";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"20.08.2017 05:30";"29.0";"736.0";"752.2";"";"74";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"19.08.2017 20:30";"32.4";"735.8";"751.9";"0.7";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"19.08.2017 17:30";"34.0";"735.1";"751.0";"-1.0";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"19.08.2017 14:30";"35.6";"736.1";"752.0";"-1.6";"53";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"19.08.2017 11:30";"33.6";"737.7";"753.7";"0.3";"63";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"19.08.2017 08:30";"28.0";"737.4";"753.7";"1.4";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.3";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"19.08.2017 05:30";"27.6";"736.0";"752.3";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"18.08.2017 20:30";"30.4";"735.7";"751.9";"1.0";"67";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"18.08.2017 17:30";"33.6";"734.7";"750.7";"-0.7";"59";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"18.08.2017 14:30";"34.6";"735.4";"751.3";"-1.8";"55";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"18.08.2017 11:30";"31.8";"737.2";"753.3";"0.7";"65";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"18.08.2017 08:30";"27.2";"736.5";"752.8";"1.1";"83";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"18.08.2017 05:30";"26.4";"735.4";"751.8";"";"84";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"17.08.2017 20:30";"31.2";"734.9";"751.0";"0.6";"68";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"17.08.2017 17:30";"34.6";"734.3";"750.2";"-1.1";"57";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"35.1";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"17.08.2017 14:30";"34.2";"735.4";"751.3";"-1.1";"58";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"17.08.2017 11:30";"31.4";"736.5";"752.6";"-0.1";"64";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
