# Weather station Goalpara, India, WMO_ID=42407,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42407&lang=en
#
"Local time in Goalpara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 08:30";"17.8";"750.7";"754.1";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.1";"";"";"";"";"";"";
"21.12.2017 17:30";"24.0";"757.3";"760.6";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"21.12.2017 08:30";"17.4";"750.4";"753.8";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.7";"";"";"";"";"";"";
"20.12.2017 17:30";"25.2";"758.8";"762.1";"";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"12.3";"";"";"";"";"";"";
"20.12.2017 08:30";"17.8";"751.2";"754.6";"";"96";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"17.1";"";"";"";"";"";"";
"19.12.2017 17:30";"24.4";"759.1";"762.4";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"25.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"20.7";"";"";"";"";"";"";
"19.12.2017 08:30";"17.2";"750.8";"754.2";"";"96";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"";"";"16.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.5";"";"";"";"";"";"";
"17.12.2017 08:30";"17.0";"751.0";"754.4";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"";"";"16.4";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"16.12.2017 17:30";"21.4";"758.0";"761.3";"";"89";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"";"22.0";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"16.12.2017 08:30";"17.2";"751.1";"754.5";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"";"";"17.0";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"15.12.2017 17:30";"22.6";"757.4";"760.7";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.1";"";"";"";"";"";"";
"15.12.2017 08:30";"17.6";"750.9";"754.3";"";"98";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"";"";"17.2";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"14.12.2017 17:30";"23.8";"757.0";"760.3";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"";"24.8";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"14.12.2017 08:30";"18.0";"751.1";"754.5";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"17.4";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"13.12.2017 17:30";"24.2";"755.2";"758.5";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.5";"";"";"";"";"";"";
"13.12.2017 08:30";"18.8";"750.6";"753.9";"";"94";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.8";"";"";"";"";"";"";
"12.12.2017 17:30";"27.0";"754.6";"757.9";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"22.0";"";"";"";"";"";"";
"12.12.2017 08:30";"19.6";"751.2";"754.5";"";"91";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"18.0";"";"";"";"";"";"";
"11.12.2017 17:30";"28.4";"752.5";"755.7";"";"69";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"22.2";"";"";"";"";"";"";
"11.12.2017 08:30";"18.4";"751.0";"754.4";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"17.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.4";"";"";"";"";"";"";
"10.12.2017 17:30";"25.0";"754.9";"758.2";"";"79";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.1";"";"";"";"";"";"";
"10.12.2017 08:30";"18.0";"751.4";"754.8";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"17.3";"";"";"";"";"";"";
"09.12.2017 17:30";"24.6";"754.4";"757.7";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"24.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.0";"";"";"";"";"";"";
"09.12.2017 08:30";"18.2";"751.0";"754.4";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.5";"";"";"";"";"";"";
"08.12.2017 17:30";"25.0";"755.2";"758.5";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"20.4";"";"";"";"";"";"";
"08.12.2017 08:30";"17.8";"750.6";"754.0";"";"96";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"17.1";"";"";"";"";"";"";
"07.12.2017 17:30";"24.8";"753.5";"756.8";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"06.12.2017 08:30";"18.2";"751.0";"754.4";"";"96";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"17.5";"";"";"";"";"";"";
"05.12.2017 17:30";"25.2";"754.2";"757.5";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"20.3";"";"";"";"";"";"";
"05.12.2017 08:30";"18.6";"751.3";"754.6";"";"94";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.6";"";"";"";"";"";"";
"04.12.2017 17:30";"23.6";"755.9";"759.2";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.9";"";"";"";"";"";"";
"04.12.2017 08:30";"18.2";"751.5";"754.9";"";"98";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"";"";"17.6";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"03.12.2017 17:30";"24.4";"748.2";"751.5";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.8";"";"";"";"";"";"";
"03.12.2017 08:30";"18.8";"751.8";"755.1";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.1";"";"";"";"";"";"";
"02.12.2017 17:30";"24.8";"755.9";"759.2";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.9";"";"";"";"";"";"";
"02.12.2017 08:30";"18.4";"751.1";"754.5";"0.0";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.8";"";"";"";"";"";"";
"02.12.2017 05:30";"18.4";"751.1";"754.5";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.8";"";"";"";"";"";"";
"01.12.2017 17:30";"25.0";"755.5";"758.8";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"20.7";"";"";"";"";"";"";
"01.12.2017 08:30";"18.0";"750.5";"753.9";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.3";"";"";"";"";"";"";
"29.11.2017 17:30";"24.4";"756.8";"760.1";"";"";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"";"";"";"";"";"";"";
"29.11.2017 08:30";"18.8";"750.7";"754.0";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.1";"";"";"";"";"";"";
"28.11.2017 17:30";"23.6";"756.1";"759.4";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.6";"";"";"";"";"";"";
"28.11.2017 08:30";"19.2";"751.9";"755.2";"";"94";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"";"";"18.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.2";"";"";"";"";"";"";
"27.11.2017 17:30";"25.2";"748.0";"751.3";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"26.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"24.6";"";"";"";"";"";"";
"27.11.2017 08:30";"19.6";"749.2";"752.5";"";"94";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.6";"";"";"";"";"";"";
