# Weather station Kanyakumari, India, WMO_ID=43377,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43377&lang=en
#
"Local time in Kanyakumari";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 11:30";"29.2";"756.4";"759.4";"-0.1";"40";"Wind blowing from the north-northeast";"7";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"29.12.2017 08:30";"26.4";"756.5";"759.6";"1.9";"46";"Wind blowing from the north-northeast";"7";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.0";"";"";"";"";"";"";
"29.12.2017 05:30";"25.0";"754.6";"757.7";"0.7";"50";"Wind blowing from the north-northeast";"6";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.12.2017 02:30";"24.6";"753.9";"757.0";"-1.3";"62";"Wind blowing from the north-northeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"28.12.2017 23:30";"25.4";"755.2";"758.3";"0.1";"61";"Wind blowing from the east-northeast";"4";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"28.12.2017 20:30";"25.8";"755.1";"758.2";"1.7";"65";"Wind blowing from the north-northeast";"5";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"28.12.2017 17:30";"28.2";"753.4";"756.5";"-0.3";"50";"Wind blowing from the north-northeast";"5";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.0";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"28.12.2017 14:30";"29.8";"753.7";"756.7";"-2.1";"42";"Wind blowing from the north-northeast";"6";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.6";"";"";"";"";"";"";
"28.12.2017 11:30";"28.4";"755.8";"758.9";"-0.3";"50";"Wind blowing from the north-northeast";"9";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"28.12.2017 08:30";"25.6";"756.1";"759.2";"1.5";"62";"Wind blowing from the north-northeast";"8";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.2";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"28.12.2017 05:30";"24.6";"754.6";"757.7";"0.0";"83";"Wind blowing from the east-northeast";"7";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.6";"";"";"";"";"";"";
"28.12.2017 02:30";"24.6";"754.6";"757.7";"-0.9";"83";"Wind blowing from the north-east";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"27.12.2017 23:30";"25.8";"755.5";"758.6";"0.3";"77";"Wind blowing from the east-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"27.12.2017 20:30";"27.0";"755.2";"758.2";"1.8";"70";"Wind blowing from the east-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"27.12.2017 17:30";"29.6";"753.4";"756.5";"0.4";"63";"Wind blowing from the east-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.6";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"27.12.2017 14:30";"31.0";"753.0";"756.1";"-2.9";"44";"Wind blowing from the east-northeast";"7";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"27.12.2017 11:30";"29.6";"755.9";"759.0";"-0.5";"51";"Wind blowing from the north-east";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.4";"";"";"";"";"";"";
"27.12.2017 08:30";"27.2";"756.4";"759.5";"1.2";"63";"Wind blowing from the north-northeast";"8";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.1";"";"";"";"600-1000";"";"";"4.0";"19.5";"";"";"";"";"";"";
"27.12.2017 05:30";"25.8";"755.2";"758.3";"-0.3";"86";"Wind blowing from the north-northeast";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"27.12.2017 02:30";"26.4";"755.5";"758.5";"-0.9";"75";"Wind blowing from the north-northeast";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"26.12.2017 23:30";"27.2";"756.4";"759.4";"0.9";"70";"Wind blowing from the north-east";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"26.12.2017 20:30";"28.2";"755.5";"758.6";"1.8";"72";"Wind blowing from the north-east";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"26.12.2017 17:30";"30.0";"753.7";"756.7";"-0.2";"54";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"32.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"26.12.2017 14:30";"31.6";"753.9";"756.9";"-2.0";"40";"Wind blowing from the north-east";"5";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.4";"";"";"";"";"";"";
"26.12.2017 11:30";"29.8";"755.9";"759.0";"-0.3";"55";"Wind blowing from the north-northeast";"7";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"26.12.2017 08:30";"27.4";"756.2";"759.3";"1.6";"64";"Wind blowing from the north-northeast";"5";"";"";"10%  or less, but not 0";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.1";"";"";"";"";"";"";
"26.12.2017 05:30";"26.0";"754.6";"757.6";"0.0";"69";"Wind blowing from the north-northeast";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"26.12.2017 02:30";"26.0";"754.6";"757.7";"-0.9";"75";"Wind blowing from the north-northeast";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"25.12.2017 23:30";"26.4";"755.5";"758.6";"-0.3";"81";"Wind blowing from the north-northeast";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"25.12.2017 20:30";"27.2";"755.8";"758.9";"1.9";"77";"Wind blowing from the north-northeast";"3";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.8";"";"";"";"";"";"";
"25.12.2017 17:30";"28.4";"753.9";"757.0";"0.2";"78";"Wind blowing from the east-northeast";"3";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"25.12.2017 14:30";"31.6";"753.7";"756.7";"-2.0";"50";"Wind blowing from the north-northeast";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"25.12.2017 11:30";"29.6";"755.7";"758.8";"-0.3";"56";"Wind blowing from the north-east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"25.12.2017 08:30";"26.6";"756.0";"759.1";"1.2";"65";"Wind blowing from the north-northeast";"8";"";"";"10%  or less, but not 0";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"25.12.2017 05:30";"24.8";"754.8";"757.9";"0.4";"74";"Wind blowing from the north-east";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"25.12.2017 02:30";"25.6";"754.4";"757.5";"-0.8";"73";"Wind blowing from the north-northeast";"6";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"24.12.2017 23:30";"26.2";"755.2";"758.2";"0.3";"79";"Wind blowing from the north-east";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"24.12.2017 20:30";"26.6";"754.9";"757.9";"1.3";"74";"Wind blowing from the north-northeast";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"24.12.2017 17:30";"28.4";"753.6";"756.7";"0.3";"65";"Wind blowing from the north-northeast";"5";"";"";"20–30%.";" ";"";"";"";"31.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.2";"";"";"";"";"";"";
"24.12.2017 14:30";"31.2";"753.3";"756.3";"-2.2";"39";"Wind blowing from the north-northeast";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.8";"";"";"";"";"";"";
"24.12.2017 11:30";"29.6";"755.5";"758.5";"-0.2";"50";"Wind blowing from the north-northeast";"8";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.1";"";"";"";"";"";"";
"24.12.2017 08:30";"26.2";"755.7";"758.8";"1.9";"65";"Wind blowing from the north-northeast";"9";"";"";"10%  or less, but not 0";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.1";"";"";"";"";"";"";
"24.12.2017 05:30";"25.2";"753.8";"756.9";"0.0";"61";"Wind blowing from the north-northeast";"8";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.1";"";"";"";"";"";"";
