# Weather station Vellore, India, WMO_ID=43303,selection from 11.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43303&lang=en
#
"Local time in Vellore";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 08:30";"19.2";"743.5";"762.0";"";"88";"Wind blowing from the west-northwest";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.2";"";"";"";"";"";"";
"27.12.2017 17:30";"27.0";"739.9";"757.9";"";"56";"Wind blowing from the east-northeast";"2";"";"";"40%.";" ";"";"";"";"28.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.5";"";"";"";"";"";"";
"27.12.2017 11:30";"26.4";"743.1";"761.2";"-0.8";"66";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.6";"";"";"";"";"";"";
"27.12.2017 08:30";"20.4";"743.9";"762.4";"";"91";"Wind blowing from the west-northwest";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"18.8";"";"";"";"";"";"";
"26.12.2017 17:30";"27.6";"740.4";"758.4";"";"59";"Wind blowing from the east-northeast";"2";"";"";"40%.";" ";"";"";"";"29.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.9";"";"";"";"";"";"";
"26.12.2017 11:30";"27.4";"742.6";"760.6";"-0.4";"63";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.7";"";"";"";"";"";"";
"26.12.2017 08:30";"20.8";"743.0";"761.5";"";"92";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.5";"";"";"";"";"";"";
"25.12.2017 17:30";"26.8";"740.6";"758.6";"";"69";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"";"29.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
"25.12.2017 11:30";"27.4";"742.0";"760.1";"-0.8";"63";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.7";"";"";"";"";"";"";
"25.12.2017 08:30";"21.4";"742.8";"761.2";"";"84";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"18.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.5";"";"";"";"";"";"";
"24.12.2017 17:30";"27.4";"739.5";"757.5";"";"60";"Wind blowing from the east-northeast";"1";"";"";"40%.";" ";"";"";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.0";"";"";"";"";"";"";
"24.12.2017 11:30";"28.4";"742.0";"760.0";"-0.7";"55";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.4";"";"";"";"";"";"";
"24.12.2017 08:30";"21.2";"742.7";"761.2";"";"86";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"18.7";"";"";"";"";"";"";
"23.12.2017 17:30";"27.0";"739.3";"757.3";"";"56";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.5";"";"";"";"";"";"";
"23.12.2017 11:30";"29.6";"741.7";"759.7";"-0.9";"49";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.7";"";"";"";"";"";"";
"23.12.2017 08:30";"22.8";"742.6";"760.9";"";"81";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.3";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"22.12.2017 17:30";"27.4";"741.1";"759.2";"";"60";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"30.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"19.0";"";"";"";"";"";"";
"22.12.2017 11:30";"29.2";"743.2";"761.2";"-0.9";"52";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.3";"";"";"";"";"";"";
"22.12.2017 08:30";"22.0";"744.1";"762.5";"";"86";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"19.5";"";"";"";"";"";"";
"21.12.2017 17:30";"26.0";"742.3";"760.4";"";"75";"Wind blowing from the east-northeast";"1";"";"";"60%.";"Haze. ";"Rain.";"Drizzle.";"";"28.1";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"21.12.2017 11:30";"27.0";"744.2";"762.4";"-1.0";"61";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.9";"";"";"";"";"";"";
"21.12.2017 08:30";"21.0";"745.2";"763.8";"";"80";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.4";"";"";"";"";"";"";
"20.12.2017 17:30";"26.8";"742.2";"760.3";"";"59";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.0";"";"";"";"";"";"";
"20.12.2017 11:30";"28.6";"744.1";"762.1";"-1.2";"54";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"20.12.2017 08:30";"22.6";"745.3";"763.8";"";"76";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.1";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"19.12.2017 17:30";"26.8";"741.8";"760.0";"";"61";"Wind blowing from the east-northeast";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"18.7";"";"";"";"";"";"";
"19.12.2017 11:30";"28.6";"743.5";"761.5";"-1.2";"52";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"19.12.2017 08:30";"22.0";"744.7";"763.2";"";"81";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.9";"";"";"";"";"";"";"2.0";"18.5";"";"";"";"";"";"";
"18.12.2017 17:30";"26.6";"742.2";"760.3";"";"64";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.7";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"18.12.2017 11:30";"27.6";"745.0";"763.2";"-0.3";"54";"Wind blowing from the north-east";"3";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"18.12.2017 08:30";"22.2";"745.3";"763.7";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.5";"";"";"";"";"";"";"2.0";"19.1";"";"";"";"";"";"";
"17.12.2017 17:30";"26.8";"742.4";"760.6";"";"51";"Wind blowing from the east";"3";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.7";"";"";"";"";"";"";
"17.12.2017 11:30";"29.0";"745.0";"763.0";"-0.9";"54";"Wind blowing from the east-northeast";"3";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"17.12.2017 08:30";"23.6";"745.9";"764.2";"";"81";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.9";"";"";"";"";"";"";"2.0";"20.2";"";"";"";"";"";"";
"16.12.2017 17:30";"27.8";"742.1";"760.2";"";"60";"Wind blowing from the east-northeast";"3";"";"";"60%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"16.12.2017 11:30";"28.8";"744.1";"762.1";"-0.9";"54";"Wind blowing from the east-northeast";"3";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.6";"";"";"";"";"";"";
"16.12.2017 08:30";"24.0";"745.0";"763.4";"";"85";"variable wind direction";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"15.12.2017 17:30";"27.2";"741.8";"759.9";"";"70";"Wind blowing from the north-east";"3";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.2";"";"";"";"";"";"";
"15.12.2017 11:30";"27.4";"743.5";"761.6";"-0.5";"73";"variable wind direction";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"15.12.2017 08:30";"23.6";"744.0";"762.3";"";"86";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.2";"";"";"";"";"";"";
"14.12.2017 17:30";"27.4";"741.2";"759.3";"";"66";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"29.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"";"";"";"";"";"";
"14.12.2017 11:30";"28.8";"743.2";"761.2";"-0.5";"62";"Wind blowing from the south-southeast";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"14.12.2017 08:30";"23.4";"743.7";"762.0";"";"88";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"13.12.2017 17:30";"27.8";"740.5";"758.5";"";"66";"Wind blowing from the south-southeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.8";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"13.12.2017 11:30";"29.0";"742.6";"760.6";"-0.8";"61";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"13.12.2017 08:30";"24.8";"743.4";"761.6";"";"87";"Wind blowing from the north-northeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"22.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"1.0";"22.4";"";"";"";"";"";"";
"12.12.2017 17:30";"28.0";"740.2";"758.2";"";"67";"Wind blowing from the south-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.8";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"12.12.2017 11:30";"28.6";"742.4";"760.4";"-1.4";"65";"variable wind direction";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"12.12.2017 08:30";"23.4";"743.8";"762.1";"";"84";"Wind blowing from the west-southwest";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.8";"";"";"";"";"";"";"2.0";"20.6";"";"";"";"";"";"";
"11.12.2017 17:30";"27.6";"740.2";"758.2";"";"58";"Wind blowing from the south-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.2";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"11.12.2017 11:30";"29.8";"742.3";"760.2";"-0.8";"54";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
