# Weather station Paramati, India, WMO_ID=43342,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43342&lang=en
#
"Local time in Paramati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"29.2";"742.6";"757.9";"";"45";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"26.12.2017 08:30";"23.2";"745.0";"760.6";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.8";"";"";"";"";"";"";
"25.12.2017 17:30";"29.0";"741.8";"757.0";"";"64";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"25.12.2017 08:30";"21.2";"744.5";"760.2";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"19.6";"";"";"";"";"";"";
"24.12.2017 17:30";"29.4";"741.4";"756.6";"";"51";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"32.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.2";"";"";"";"";"";"";
"24.12.2017 08:30";"21.0";"744.7";"760.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"23.12.2017 17:30";"29.6";"741.4";"756.6";"";"50";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"32.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"23.12.2017 08:30";"22.0";"744.9";"760.6";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"18.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.2";"";"";"";"";"";"";
"22.12.2017 17:30";"29.0";"744.1";"759.4";"";"58";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"22.12.2017 08:30";"22.2";"746.4";"762.1";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"21.12.2017 17:30";"26.4";"745.0";"760.3";"";"66";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"30.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.6";"";"";"";"";"";"";
"21.12.2017 08:30";"21.4";"747.1";"762.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"20.12.2017 17:30";"30.0";"744.7";"760.0";"";"47";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"20.12.2017 08:30";"24.0";"746.7";"762.3";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"19.12.2017 17:30";"28.6";"743.8";"759.1";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"19.12.2017 08:30";"21.6";"746.7";"762.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"18.12.2017 17:30";"28.2";"744.9";"760.3";"";"46";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"30.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.5";"";"";"";"";"";"";
"18.12.2017 08:30";"21.0";"747.8";"763.6";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"17.12.2017 17:30";"26.4";"745.6";"760.9";"";"72";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"30.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.0";"";"";"";"";"";"";
"17.12.2017 08:30";"21.4";"747.6";"763.3";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"18.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.2";"";"";"";"";"";"";
"16.12.2017 17:30";"28.4";"743.8";"759.1";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"10.0";"20.9";"";"";"";"";"";"";
"16.12.2017 08:30";"23.6";"747.8";"763.3";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"20.2";"";"";"";"";"";"";
"15.12.2017 17:30";"29.6";"742.7";"758.0";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"21.2";"";"";"";"";"";"";
"15.12.2017 08:30";"27.2";"746.2";"761.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"14.12.2017 17:30";"29.0";"743.4";"758.7";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"14.12.2017 08:30";"24.2";"745.8";"761.3";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"13.12.2017 17:30";"29.4";"742.6";"757.7";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"13.12.2017 08:30";"25.0";"746.1";"761.6";"";"88";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"12.12.2017 17:30";"31.0";"742.9";"758.1";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"12.12.2017 08:30";"24.4";"746.1";"761.6";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"11.12.2017 17:30";"30.0";"742.6";"757.9";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"11.12.2017 08:30";"24.0";"745.9";"761.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"10.12.2017 17:30";"30.4";"742.3";"757.5";"";"60";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"10.12.2017 08:30";"23.0";"744.7";"760.3";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.2";"";"";"";"";"";"";
"09.12.2017 17:30";"30.4";"740.8";"755.9";"";"63";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"09.12.2017 08:30";"22.0";"744.0";"759.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"08.12.2017 17:30";"29.6";"740.4";"755.5";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"21.2";"";"";"";"";"";"";
"08.12.2017 08:30";"24.4";"743.2";"758.7";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"10.0";"22.3";"";"";"";"";"";"";
"07.12.2017 17:30";"30.0";"740.1";"755.2";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
"07.12.2017 08:30";"24.0";"742.8";"758.4";"";"91";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.5";"";"";"";"";"";"";
"06.12.2017 17:30";"29.0";"740.2";"755.5";"";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"06.12.2017 08:30";"24.4";"744.2";"759.7";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.3";"";"";"";"";"";"";
"05.12.2017 17:30";"29.4";"740.5";"755.6";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"05.12.2017 08:30";"23.2";"743.8";"759.3";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"10.0";"21.7";"";"";"";"";"";"";
"04.12.2017 17:30";"29.0";"740.8";"756.1";"";"71";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"04.12.2017 08:30";"24.0";"743.7";"759.2";"";"91";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.5";"";"";"";"";"";"";
"03.12.2017 17:30";"28.0";"741.5";"756.7";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"03.12.2017 08:30";"22.4";"744.0";"759.6";"";"79";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.6";"";"";"";"";"";"";
"02.12.2017 17:30";"25.4";"742.7";"758.2";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.3";"";"";"";"";"";"";
"02.12.2017 08:30";"23.4";"743.5";"759.1";"";"91";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"21.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"01.12.2017 17:30";"25.0";"739.9";"";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"01.12.2017 08:30";"25.0";"741.7";"757.0";"";"95";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"21.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.1";"";"";"";"";"";"";
"30.11.2017 17:30";"24.0";"739.9";"755.3";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.0";"";"";"";"";"";"";
"30.11.2017 08:30";"23.4";"742.9";"758.4";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.8";"";"";"";"";"";"";
"29.11.2017 17:30";"24.4";"741.8";"757.3";"";"76";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"28.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"29.11.2017 08:30";"24.4";"744.9";"760.4";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.7";"";"";"";"";"";"";
"28.11.2017 17:30";"29.4";"741.0";"756.1";"";"64";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"28.11.2017 08:30";"25.4";"743.8";"759.1";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
"27.11.2017 17:30";"26.4";"741.7";"757.0";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.5";"";"";"";"";"";"";
"27.11.2017 08:30";"25.0";"744.9";"760.4";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"26.11.2017 17:30";"28.0";"743.3";"758.7";"";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.1";"";"";"";"";"";"";
"26.11.2017 08:30";"24.4";"745.1";"760.4";"";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.7";"";"";"";"";"";"";
"25.11.2017 17:30";"30.4";"741.9";"757.0";"";"51";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.1";"";"";"";"";"";"";
"25.11.2017 08:30";"25.4";"744.4";"759.8";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.3";"";"";"";"";"";"";
"24.11.2017 17:30";"32.0";"741.1";"756.1";"";"54";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"24.11.2017 08:30";"25.4";"744.3";"759.7";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.8";"";"";"";"";"";"";
"23.11.2017 17:30";"30.4";"741.5";"756.7";"";"53";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"34.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"23.11.2017 08:30";"24.2";"743.1";"758.6";"";"90";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.4";"";"";"";"";"";"";
