# Weather station Salem, India, WMO_ID=43325,selection from 11.07.2013 till 14.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43325&lang=en
#
"Local time in Salem";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.06.2018 05:30";"26.0";"730.1";"753.4";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.8";"";"";"";"";"";"";
"10.06.2018 17:30";"32.8";"728.7";"751.3";"";"52";"Wind blowing from the west-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"33.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"10.06.2018 08:30";"28.2";"731.2";"754.3";"1.5";"74";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"10.06.2018 05:30";"26.4";"729.7";"752.8";"";"78";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.2";"";"";"";"";"";"";
"09.06.2018 17:30";"31.8";"728.2";"750.9";"";"49";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"32.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.7";"";"";"";"";"";"";
"09.06.2018 08:30";"27.0";"730.1";"753.3";"1.3";"77";"Wind blowing from the south-southeast";"3";"";"";"60%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.6";"";"";"";"";"";"";
"09.06.2018 05:30";"26.2";"728.8";"751.9";"";"79";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.3";"";"";"";"";"";"";
"08.06.2018 17:30";"31.8";"728.5";"751.3";"";"55";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"";"32.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.8";"";"";"";"";"";"";
"08.06.2018 08:30";"27.4";"731.1";"754.2";"1.2";"77";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"24.5";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.0";"";"";"";"";"";"";
"08.06.2018 05:30";"25.6";"729.9";"753.2";"";"82";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.3";"";"";"";"";"";"";
"07.06.2018 17:30";"30.6";"729.9";"752.8";"";"62";"Wind blowing from the south-southeast";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.5";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.4";"";"";"";"";"";"";
"07.06.2018 08:30";"28.0";"732.1";"755.3";"1.0";"80";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"25.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.3";"";"";"";"";"";"";
"07.06.2018 05:30";"26.0";"731.1";"754.4";"";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.0";"";"";"";"";"";"";
"06.06.2018 17:30";"33.8";"729.7";"752.3";"";"57";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"";"35.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.1";"";"";"";"";"";"";
"06.06.2018 08:30";"28.6";"733.0";"756.1";"1.6";"85";"Wind blowing from the south";"3";"";"";"40%.";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.8";"";"";"";"";"";"";
"06.06.2018 05:30";"25.6";"731.4";"754.7";"";"87";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.3";"";"";"";"";"";"";
"05.06.2018 17:30";"25.2";"730.3";"753.6";"";"88";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.1";"";"";"";"";"";"";
"05.06.2018 08:30";"28.0";"731.2";"754.3";"1.1";"78";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"25.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.7";"";"";"";"";"";"";
"05.06.2018 05:30";"26.2";"730.1";"753.3";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.0";"";"";"";"";"";"";
"04.06.2018 17:30";"31.0";"727.9";"750.7";"";"61";"Wind blowing from the north-west";"3";"";"";"70 – 80%.";" ";"";"";"";"34.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.6";"";"";"";"";"";"";
"04.06.2018 08:30";"25.6";"730.8";"753.9";"1.2";"93";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.4";"";"";"";"";"";"";
"04.06.2018 05:30";"25.0";"729.6";"752.9";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"03.06.2018 17:30";"24.6";"729.8";"753.1";"";"95";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"34.3";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altostratus translucidus.";"";"4.0";"23.7";"";"";"";"";"";"";
"03.06.2018 08:30";"28.4";"731.6";"754.7";"0.7";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.7";"";"";"";"";"";"";
"03.06.2018 05:30";"26.6";"730.9";"754.0";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.4";"";"";"";"";"";"";
"02.06.2018 17:30";"33.6";"729.7";"752.4";"";"54";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"34.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"02.06.2018 08:30";"26.6";"731.7";"754.9";"1.4";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"02.06.2018 05:30";"25.0";"730.3";"753.7";"";"91";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"01.06.2018 17:30";"34.6";"728.3";"750.8";"";"50";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"36.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"01.06.2018 08:30";"29.6";"731.5";"754.6";"0.9";"71";"Wind blowing from the west-northwest";"3";"";"";"60%.";" ";"";"";"26.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"01.06.2018 05:30";"27.6";"730.6";"753.7";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.2";"";"";"";"";"";"";
"31.05.2018 17:30";"35.6";"728.2";"750.7";"";"49";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"36.3";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.3";"";"";"";"";"";"";
"31.05.2018 08:30";"28.8";"731.2";"754.2";"1.2";"75";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.9";"";"";"";"";"";"";
"31.05.2018 05:30";"26.8";"730.0";"753.1";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.7";"";"";"";"";"";"";
"30.05.2018 17:30";"33.2";"727.9";"750.5";"";"61";"Wind blowing from the west-southwest";"3";"";"";"50%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.7";"";"";"";"";"";"";
"30.05.2018 08:30";"27.2";"730.0";"753.1";"0.9";"77";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"30.05.2018 05:30";"24.4";"729.1";"752.4";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.3";"";"";"";"";"";"";
"29.05.2018 17:30";"33.2";"727.8";"750.4";"";"55";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.1";"";"";"";"";"";"";
"29.05.2018 08:30";"29.0";"730.1";"753.1";"1.3";"76";"Wind blowing from the south-southeast";"3";"";"";"50%.";" ";"";"";"25.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.4";"";"";"";"";"";"";
"29.05.2018 05:30";"26.6";"728.8";"751.9";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.8";"";"";"";"";"";"";
"28.05.2018 17:30";"35.4";"726.9";"749.3";"";"45";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"36.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.7";"";"";"";"";"";"";
"28.05.2018 08:30";"29.0";"729.9";"752.9";"0.5";"80";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.3";"";"";"";"";"";"";
"28.05.2018 05:30";"27.0";"729.4";"752.5";"";"81";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.5";"";"";"";"";"";"";
"27.05.2018 17:30";"34.2";"727.6";"750.1";"";"52";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"34.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.9";"";"";"";"";"";"";
"27.05.2018 08:30";"28.0";"729.9";"753.0";"0.0";"82";"Wind blowing from the south-southeast";"2";"";"";"60%.";" ";"";"";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"27.05.2018 05:30";"27.0";"729.9";"753.1";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.1";"";"";"";"";"";"";
"26.05.2018 17:30";"31.0";"727.9";"750.7";"";"66";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"33.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.8";"";"";"";"";"";"";
"26.05.2018 08:30";"25.8";"731.1";"754.4";"1.9";"87";"Wind blowing from the north-northwest";"2";"";"";"60%.";" ";"";"";"23.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"26.05.2018 05:30";"24.4";"729.2";"752.5";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"23.2";"";"";"";"";"";"";
