# Weather station Udgir, India, WMO_ID=43076,selection from 03.08.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43076&lang=en
#
"Local time in Udgir";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.12.2017 17:30";"27.2";"698.8";"751.5";"";"58";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"18.1";"";"";"";"";"";"";
"05.12.2017 08:30";"21.2";"";"753.7";"";"81";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"04.12.2017 08:30";"20.8";"";"755.2";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"03.12.2017 17:30";"27.4";"";"753.7";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"03.12.2017 08:30";"21.6";"";"756.0";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"02.12.2017 08:30";"21.4";"";"756.0";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"01.12.2017 17:30";"25.6";"";"753.0";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"01.12.2017 08:30";"23.2";"";"755.2";"";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"30.11.2017 17:30";"25.8";"";"753.7";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"30.11.2017 08:30";"23.2";"";"755.2";"";"59";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"29.11.2017 17:30";"25.2";"";"754.5";"";"56";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"29.11.2017 08:30";"22.6";"";"756.7";"";"65";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"28.11.2017 17:30";"25.0";"701.9";"755.2";"";"56";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"28.11.2017 08:30";"24.0";"702.5";"756.0";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"27.11.2017 08:30";"23.8";"703.1";"756.7";"";"56";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"26.11.2017 17:30";"25.8";"702.0";"755.2";"";"51";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"26.11.2017 08:30";"23.4";"703.7";"757.5";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"25.11.2017 17:30";"25.0";"701.2";"754.5";"";"61";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.9";"";"";"";"";"";"";
"25.11.2017 08:30";"23.6";"703.0";"756.7";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"24.11.2017 08:30";"25.2";"702.7";"756.0";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"22.11.2017 17:30";"22.4";"699.4";"753.0";"";"90";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"32.2";"Stratocumulus cumulogenitus.";"60%.";"2000-2500";"Altocumulus translucidus at a single level.";"";"10.0";"20.6";"";"";"";"";"";"";
"22.11.2017 08:30";"22.4";"700.4";"754.1";"";"89";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"21.11.2017 08:30";"22.4";"701.4";"755.2";"";"83";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"20.11.2017 17:30";"29.0";"701.9";"754.5";"";"48";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"31.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"17.0";"";"";"";"";"";"";
"20.11.2017 08:30";"25.2";"702.7";"756.0";"";"65";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"20.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"18.2";"";"";"";"";"";"";
"19.11.2017 17:30";"27.2";"701.2";"754.1";"";"65";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"30.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"20.1";"";"";"";"";"";"";
"19.11.2017 08:30";"25.2";"701.9";"755.2";"";"65";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"20.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.2";"";"";"";"";"";"";
"18.11.2017 08:30";"23.8";"701.0";"754.5";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"17.11.2017 17:30";"22.4";"698.6";"752.2";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"17.11.2017 08:30";"23.4";"700.6";"754.1";"";"73";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"16.11.2017 17:30";"26.4";"699.1";"751.9";"";"67";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"16.11.2017 08:30";"22.8";"699.7";"753.3";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"15.11.2017 17:30";"27.2";"698.8";"751.5";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"15.11.2017 08:30";"23.6";"700.0";"753.4";"";"60";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"14.11.2017 17:30";"27.2";"698.4";"751.1";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"14.11.2017 08:30";"24.8";"699.8";"753.0";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"13.11.2017 08:30";"22.6";"700.3";"753.9";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"12.11.2017 17:30";"25.8";"699.2";"752.2";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"12.11.2017 08:30";"24.2";"701.1";"754.5";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"11.11.2017 17:30";"26.0";"700.0";"753.0";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"11.11.2017 08:30";"24.0";"702.5";"756.0";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"10.11.2017 17:30";"26.8";"700.8";"753.7";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"10.11.2017 08:30";"24.0";"701.9";"755.4";"";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"09.11.2017 17:30";"26.6";"700.1";"753.0";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"09.11.2017 08:30";"25.4";"702.0";"755.2";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"08.11.2017 17:30";"27.0";"700.8";"753.7";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"08.11.2017 08:30";"25.0";"703.3";"756.7";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"07.11.2017 17:30";"27.2";"700.9";"753.7";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"07.11.2017 08:30";"25.6";"702.7";"756.0";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"06.11.2017 17:30";"27.4";"700.9";"753.7";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"21.2";"";"";"";"";"";"";
"06.11.2017 08:30";"24.2";"702.5";"756.0";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"05.11.2017 17:30";"27.6";"700.3";"753.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"05.11.2017 08:30";"24.6";"701.8";"755.2";"";"65";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"04.11.2017 17:30";"25.4";"699.9";"753.0";"";"55";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"04.11.2017 08:30";"24.0";"701.7";"755.2";"";"55";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"03.11.2017 17:30";"25.3";"699.9";"753.0";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"03.11.2017 08:30";"25.6";"702.0";"755.2";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"02.11.2017 17:30";"26.2";"700.0";"753.0";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"02.11.2017 08:30";"24.4";"702.5";"756.0";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"01.11.2017 17:30";"27.4";"701.6";"754.5";"";"50";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"01.11.2017 08:30";"19.0";"701.9";"756.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"31.10.2017 17:30";"27.4";"700.3";"753.0";"";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"31.10.2017 08:30";"23.2";"702.3";"756.0";"";"61";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"30.10.2017 17:30";"27.6";"700.9";"753.7";"";"74";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"22.6";"";"";"";"";"";"";
"30.10.2017 08:30";"24.6";"704.0";"757.5";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"29.10.2017 17:30";"29.2";"702.3";"754.9";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"29.10.2017 08:30";"25.4";"703.3";"756.7";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"28.10.2017 17:30";"26.4";"701.5";"754.5";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"28.10.2017 08:30";"25.2";"703.0";"756.4";"";"64";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"27.10.2017 08:30";"25.2";"703.3";"756.7";"";"82";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"26.10.2017 17:30";"29.0";"702.3";"754.9";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"25.10.2017 17:30";"27.0";"702.2";"755.2";"";"58";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"17.9";"";"";"";"";"";"";
"25.10.2017 08:30";"27.6";"703.7";"756.7";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
