# Weather station Wardha, India, WMO_ID=42939,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42939&lang=en
#
"Local time in Wardha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 08:30";"15.5";"738.7";"763.9";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"25.12.2017 17:30";"29.1";"735.3";"759.3";"-1.2";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"25.12.2017 14:30";"30.4";"736.5";"760.4";"-1.4";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"25.12.2017 11:30";"26.9";"737.9";"762.1";"0.4";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"2.0";"8.9";"";"";"";"";"";"";
"25.12.2017 08:30";"13.6";"737.5";"762.9";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"24.12.2017 17:30";"27.5";"735.4";"759.5";"0.2";"33";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"24.12.2017 14:30";"29.5";"735.2";"759.1";"-3.3";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"24.12.2017 11:30";"25.6";"738.5";"762.9";"1.2";"29";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"24.12.2017 08:30";"13.6";"737.3";"762.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.9";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"23.12.2017 17:30";"27.5";"735.6";"759.7";"-0.2";"33";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"9.9";"";"";"";"";"";"";
"23.12.2017 14:30";"28.2";"735.8";"759.9";"-2.3";"30";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.1";"";"";"";"";"";"";
"23.12.2017 11:30";"26.0";"738.1";"762.4";"0.4";"27";"Wind blowing from the east-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"5.3";"";"";"";"";"";"";
"23.12.2017 08:30";"13.1";"737.7";"763.1";"";"77";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"1.0";"9.1";"";"";"";"";"";"";
"22.12.2017 17:30";"27.3";"737.2";"761.4";"-1.4";"33";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.6";"";"";"";"";"";"";
"22.12.2017 14:30";"28.4";"738.6";"762.7";"-0.9";"28";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"8.3";"";"";"";"";"";"";
"22.12.2017 11:30";"25.5";"739.5";"763.9";"-0.7";"39";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.4";"";"";"";"";"";"";
"22.12.2017 08:30";"14.0";"740.2";"765.6";"";"78";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"10.2";"";"";"";"";"";"";
"21.12.2017 17:30";"27.9";"737.7";"761.9";"-1.4";"33";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"29.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.0";"";"";"";"";"";"";
"21.12.2017 14:30";"28.5";"739.1";"763.3";"-1.4";"31";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"21.12.2017 11:30";"25.5";"740.5";"764.9";"0.2";"41";"Wind blowing from the east-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.3";"";"";"";"";"";"";
"21.12.2017 08:30";"14.5";"740.3";"765.7";"";"69";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"10.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.9";"";"";"";"";"";"";
"20.12.2017 17:30";"27.7";"738.6";"762.8";"0.6";"35";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.7";"";"";"";"";"";"";
"20.12.2017 14:30";"28.5";"738.0";"762.1";"-2.9";"26";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.2";"";"";"";"";"";"";
"20.12.2017 11:30";"25.5";"740.9";"765.4";"0.7";"29";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.1";"";"";"";"";"";"";
"20.12.2017 08:30";"14.3";"740.2";"765.6";"";"59";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"10.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"6.3";"";"";"";"";"";"";
"19.12.2017 17:30";"26.9";"737.4";"761.6";"-0.5";"22";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.6";"";"";"";"";"";"";
"19.12.2017 14:30";"28.0";"737.9";"762.1";"-2.6";"37";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.0";"";"";"";"";"";"";
"19.12.2017 11:30";"25.0";"740.5";"765.0";"-0.7";"20";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"0.2";"";"";"";"";"";"";
"19.12.2017 08:30";"12.5";"741.2";"766.8";"";"56";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"4.0";"";"";"";"";"";"";
"18.12.2017 17:30";"27.2";"738.6";"762.8";"0.0";"25";"Wind blowing from the east-southeast";"1";"";"";"40%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"5.6";"";"";"";"";"";"";
"18.12.2017 14:30";"29.2";"738.6";"762.7";"";"18";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"2.2";"";"";"";"";"";"";
"18.12.2017 08:30";"18.3";"740.9";"766.0";"";"55";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.0";"";"";"";"";"";"";
"17.12.2017 17:30";"27.2";"738.5";"762.7";"-0.4";"40";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"12.5";"";"";"";"";"";"";
"17.12.2017 14:30";"29.0";"738.9";"763.0";"-2.1";"33";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"10.9";"";"";"";"";"";"";
"17.12.2017 11:30";"25.8";"741.8";"766.3";"1.2";"22";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"2.3";"";"";"";"";"";"";
"17.12.2017 08:30";"17.0";"740.6";"765.8";"";"74";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"14.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.3";"";"";"";"";"";"";
"16.12.2017 17:30";"29.0";"738.3";"762.4";"0.5";"30";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.8";"";"";"";"";"";"";
"16.12.2017 14:30";"30.8";"737.8";"761.7";"-1.9";"30";"Wind blowing from the east-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.1";"";"";"";"";"";"";
"16.12.2017 11:30";"27.6";"739.7";"763.9";"0.1";"41";"Wind blowing from the east-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.0";"";"";"";"";"";"";
"16.12.2017 08:30";"16.2";"739.6";"764.8";"";"77";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"14.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.2";"";"";"";"";"";"";
"15.12.2017 17:30";"29.2";"737.1";"761.1";"0.0";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"15.12.2017 14:30";"30.2";"737.1";"761.1";"-2.7";"30";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"15.12.2017 11:30";"28.0";"739.8";"764.0";"1.2";"39";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"15.12.2017 08:30";"18.0";"738.6";"763.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"2.0";"13.0";"";"";"";"";"";"";
"14.12.2017 17:30";"28.8";"736.5";"760.5";"-0.1";"41";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.2";"";"";"";"";"";"";
"14.12.2017 14:30";"30.0";"736.6";"760.6";"-1.9";"36";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.3";"";"";"";"";"";"";
"14.12.2017 11:30";"27.7";"738.5";"762.7";"0.0";"46";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.1";"";"";"";"";"";"";
"14.12.2017 08:30";"17.4";"738.5";"763.6";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.9";"";"";"";"";"";"";
"13.12.2017 17:30";"28.1";"735.3";"759.4";"-0.8";"39";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.7";"";"";"";"";"";"";
"13.12.2017 14:30";"30.5";"736.1";"760.0";"-2.3";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"13.12.2017 11:30";"27.6";"738.4";"762.6";"1.0";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"13.12.2017 08:30";"19.5";"737.4";"762.3";"";"63";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"16.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.3";"";"";"";"";"";"";
"12.12.2017 17:30";"27.7";"735.0";"759.1";"-0.2";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"12.12.2017 14:30";"29.5";"735.2";"759.1";"-2.3";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"12.12.2017 11:30";"27.0";"737.5";"761.7";"-0.2";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"12.12.2017 08:30";"15.8";"737.7";"762.9";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"11.12.2017 17:30";"28.0";"734.8";"758.9";"-0.2";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"11.12.2017 14:30";"29.9";"735.0";"758.9";"-2.3";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"11.12.2017 11:30";"27.2";"737.3";"761.5";"-0.1";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"11.12.2017 08:30";"15.2";"737.4";"762.6";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"10.12.2017 17:30";"27.4";"734.8";"758.9";"-0.9";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"10.12.2017 14:30";"28.7";"735.7";"759.7";"-2.5";"21";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.4";"";"";"";"";"";"";
"10.12.2017 11:30";"27.5";"738.2";"762.4";"0.5";"20";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.7";"";"";"";"";"";"";
"10.12.2017 08:30";"16.5";"737.7";"762.8";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"2.0";"9.1";"";"";"";"";"";"";
"09.12.2017 17:30";"29.5";"734.5";"758.4";"0.3";"34";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.8";"";"";"";"";"";"";
