# Weather station Karvar, India, WMO_ID=43225,selection from 11.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43225&lang=en
#
"Local time in Karvar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.12.2017 08:30";"22.8";"759.4";"759.7";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"22.12.2017 17:30";"32.0";"758.1";"758.5";"-0.1";"60";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"22.12.2017 14:30";"35.2";"758.2";"758.6";"-2.1";"30";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"22.12.2017 11:30";"31.6";"760.3";"760.6";"-0.3";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"22.12.2017 08:30";"24.4";"760.6";"760.9";"";"58";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"21.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.5";"";"";"";"";"";"";
"21.12.2017 17:30";"33.8";"758.8";"759.1";"-0.5";"35";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.1";"";"";"";"";"";"";
"21.12.2017 14:30";"33.6";"759.3";"759.7";"-2.2";"32";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.5";"";"";"";"";"";"";
"21.12.2017 11:30";"30.4";"761.5";"761.8";"0.0";"44";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.8";"";"";"";"";"";"";
"21.12.2017 08:30";"24.8";"761.5";"761.8";"";"46";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"22.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.3";"";"";"";"";"";"";
"20.12.2017 17:30";"30.6";"758.7";"759.1";"0.1";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"23.0";"";"";"";"";"";"";
"20.12.2017 14:30";"34.0";"758.6";"759.0";"-2.5";"38";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"20.12.2017 11:30";"30.4";"761.1";"761.5";"-0.3";"46";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"20.12.2017 08:30";"24.2";"761.4";"761.8";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.9";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"19.12.2017 17:30";"29.6";"758.8";"759.1";"0.3";"58";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"19.12.2017 14:30";"34.2";"758.5";"758.9";"-2.4";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"19.12.2017 11:30";"31.0";"760.9";"761.3";"-0.2";"38";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"19.12.2017 08:30";"22.8";"761.1";"761.5";"";"74";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"";"";"20.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.0";"";"";"";"";"";"";
"18.12.2017 17:30";"31.8";"759.5";"759.9";"-0.2";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.6";"";"";"";"";"";"";
"18.12.2017 14:30";"33.4";"759.7";"760.0";"-2.5";"37";"Wind blowing from the south-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.8";"";"";"";"";"";"";
"18.12.2017 11:30";"30.6";"762.2";"762.6";"0.1";"43";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.6";"";"";"";"";"";"";
"18.12.2017 08:30";"26.4";"762.1";"762.5";"";"54";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"23.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.4";"";"";"";"";"";"";
"17.12.2017 17:30";"33.6";"758.6";"759.0";"-0.2";"39";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.8";"";"";"";"";"";"";
"17.12.2017 14:30";"35.0";"758.8";"759.2";"-2.7";"34";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.9";"";"";"";"";"";"";
"17.12.2017 11:30";"32.2";"761.5";"761.8";"-0.4";"36";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.1";"";"";"";"";"";"";
"17.12.2017 08:30";"26.0";"761.9";"762.3";"";"42";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"23.3";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"16.12.2017 17:30";"31.2";"758.4";"758.8";"0.2";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"16.12.2017 14:30";"34.6";"758.2";"758.6";"-2.3";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"16.12.2017 11:30";"32.2";"760.5";"760.9";"-0.4";"44";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"16.12.2017 08:30";"25.8";"760.9";"761.3";"";"66";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"15.12.2017 17:30";"31.0";"758.7";"759.1";"0.2";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"15.12.2017 14:30";"33.6";"758.5";"758.8";"-1.9";"43";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"15.12.2017 11:30";"31.6";"760.4";"760.8";"-0.2";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"15.12.2017 08:30";"23.6";"760.6";"760.9";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"21.9";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"14.12.2017 17:30";"29.0";"758.2";"758.5";"-0.6";"75";"Wind blowing from the north-northwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.1";"";"";"";"";"";"";
"14.12.2017 14:30";"32.4";"758.8";"759.1";"-2.0";"59";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"14.12.2017 11:30";"28.8";"760.8";"761.2";"0.3";"67";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"14.12.2017 08:30";"23.0";"760.5";"760.9";"";"90";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"";"";"21.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"13.12.2017 17:30";"30.4";"758.3";"758.7";"-0.4";"64";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"22.8";"";"";"";"";"";"";
"13.12.2017 14:30";"33.2";"758.7";"759.1";"5.3";"50";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"13.12.2017 11:30";"29.2";"753.4";"753.8";"-8.1";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"13.12.2017 08:30";"23.0";"761.5";"761.8";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"20.5";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"12.12.2017 17:30";"29.2";"758.7";"759.1";"0.2";"66";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"12.12.2017 14:30";"33.6";"758.5";"758.9";"-2.1";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.2";"";"";"";"";"";"";
"12.12.2017 11:30";"30.2";"760.6";"760.9";"-0.5";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"12.12.2017 08:30";"21.8";"761.1";"761.5";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"20.5";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"11.12.2017 17:30";"30.0";"758.4";"758.8";"0.0";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"11.12.2017 14:30";"33.8";"758.4";"758.8";"-2.2";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"11.12.2017 11:30";"30.6";"760.6";"761.0";"-0.2";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.1";"";"";"";"";"";"";
"11.12.2017 08:30";"22.4";"760.8";"761.2";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"20.5";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"10.12.2017 17:30";"32.8";"757.3";"757.6";"0.2";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"10.12.2017 14:30";"34.0";"757.1";"757.5";"-2.2";"41";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"10.12.2017 11:30";"32.6";"759.3";"759.7";"-0.2";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"10.12.2017 08:30";"23.2";"759.5";"759.9";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"21.5";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"09.12.2017 17:30";"29.2";"756.8";"757.2";"0.0";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"22.8";"";"";"";"";"";"";
"09.12.2017 14:30";"30.6";"756.8";"757.2";"-1.7";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"09.12.2017 11:30";"30.6";"758.5";"758.8";"-0.5";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"09.12.2017 08:30";"24.0";"759.0";"759.4";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"22.3";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"08.12.2017 17:30";"29.8";"756.4";"756.7";"0.3";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"08.12.2017 14:30";"33.6";"756.1";"756.4";"-1.7";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.9";"";"";"";"";"";"";
"08.12.2017 11:30";"31.2";"757.8";"758.2";"-0.3";"63";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"08.12.2017 08:30";"24.0";"758.1";"758.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"22.6";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"07.12.2017 17:30";"29.6";"756.7";"757.0";"0.3";"72";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"34.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.1";"";"";"";"";"";"";
"07.12.2017 14:30";"33.6";"756.4";"756.8";"-1.8";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.2";"";"";"";"";"";"";
"07.12.2017 11:30";"32.0";"758.2";"758.5";"-0.2";"63";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.0";"";"";"";"";"";"";
"07.12.2017 08:30";"24.8";"758.4";"758.8";"";"88";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"";"";"23.1";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.7";"";"";"";"";"";"";
