# Weather station Gulbarga, India, WMO_ID=43121,selection from 11.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43121&lang=en
#
"Local time in Gulbarga";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.12.2017 14:30";"32.4";"720.3";"757.6";"-2.4";"45";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.1";"";"";"";"";"";"";
"13.12.2017 11:30";"29.2";"722.7";"760.6";"-0.3";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"13.12.2017 08:30";"23.4";"723.0";"761.6";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.2";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"12.12.2017 17:30";"31.4";"719.8";"757.2";"-0.3";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"12.12.2017 14:30";"32.6";"720.1";"757.5";"-2.8";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"12.12.2017 11:30";"29.0";"722.9";"760.9";"-0.2";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"12.12.2017 08:30";"21.6";"723.1";"762.1";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"11.12.2017 17:30";"30.8";"719.8";"757.4";"-0.6";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.7";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"11.12.2017 14:30";"32.4";"720.4";"758.1";"-2.3";"34";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"11.12.2017 11:30";"29.4";"722.7";"760.6";"-0.1";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"11.12.2017 08:30";"22.2";"722.8";"761.6";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.7";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
