"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"28.12.2017 14:30","18.5","688.7","","-1.8","37","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","3.3","","","","","","",
"28.12.2017 11:30","11.6","690.5","","0.1","66","Calm, no wind","0","","","no clouds","Fog or ice fog. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","1.0","5.3","","","","","","",
"28.12.2017 08:30","2.4","690.4","","0.9","100","Calm, no wind","0","","","no clouds","Fog or ice fog, sky visible (has become thinner during the preceding hour). ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","0.5","","","","","","","0.05","2.4","","","","","","",
"28.12.2017 05:30","3.2","689.5","","","97","Calm, no wind","0","","","20–30%.","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","2.7","","","","","","",
"27.12.2017 20:30","9.0","689.4","","0.7","80","Wind blowing from the south","1","","","20–30%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","20–30%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","5.7","","","","","","",
"27.12.2017 17:30","13.4","688.7","","0.1","70","Calm, no wind","0","","","100%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","16.1","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","100%.","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","1.0","8.0","","","","","","",
"27.12.2017 14:30","15.8","688.6","","-1.9","51","Calm, no wind","0","","","100%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","100%.","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","1.0","5.7","","","","","","",
"27.12.2017 11:30","12.4","690.5","","1.0","71","Wind blowing from the north-west","1","","","100%.","Fog or ice fog. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","100%.","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","1.0","7.3","","","","","","",
"27.12.2017 08:30","6.0","689.5","","0.8","94","Calm, no wind","0","","","90  or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","4.5","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","50%.","2000-2500","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","5.1","","","","","","",
"27.12.2017 05:30","6.2","688.7","","","91","Calm, no wind","0","","","40%.","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","4.9","","","","","","",
"26.12.2017 20:30","9.6","689.6","","1.1","73","Wind blowing from the east-southeast","1","","","no clouds","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","5.0","","","","","","",
"26.12.2017 17:30","15.0","688.5","","-0.1","57","Wind blowing from the south-east","1","","","70 – 80%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","20.3","Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","20–30%.","2500 or more, or no clouds.","Altostratus translucidus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","6.4","","","","","","",
"26.12.2017 14:30","19.8","688.6","","-1.8","34","Calm, no wind","0","","","70 – 80%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","20–30%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","3.3","","","","","","",
"26.12.2017 11:30","12.8","690.4","","0.3","57","Wind blowing from the north-west","1","","","50%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","4.3","","","","","","",
"26.12.2017 08:30","3.2","690.1","","0.9","97","Calm, no wind","0","","","50%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","1.6","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky, they generally thicken as a whole.","1.0","2.7","","","","","","",
"26.12.2017 05:30","3.2","689.2","","","97","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","2.7","","","","","","",
"25.12.2017 20:30","8.8","689.5","","1.1","77","Wind blowing from the south","1","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","5.0","","","","","","",
"25.12.2017 17:30","14.0","688.4","","0.4","59","Wind blowing from the south-east","1","","","no clouds","Haze. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","21.1","","","","","","2.0","6.1","","","","","","",
"25.12.2017 14:30","19.0","688.0","","-2.3","37","Calm, no wind","0","","","no clouds","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","4.0","","","","","","",
"25.12.2017 11:30","11.8","690.3","","0.5","64","variable wind direction","1","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","","","","","","1.0","5.2","","","","","","",
"25.12.2017 08:30","3.6","689.8","","0.8","97","Calm, no wind","0","","","no clouds","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","2.0","","","","","","","1.0","3.1","","","","","","",
"25.12.2017 05:30","4.2","689.0","","","91","Calm, no wind","0","","","10%  or less, but not 0","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","2.8","","","","","","",
"24.12.2017 20:30","10.4","688.4","","1.0","69","Calm, no wind","0","","","70 – 80%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","60%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","5.0","","","","","","",
"24.12.2017 17:30","14.4","687.4","","-0.2","61","Wind blowing from the south","1","","","70 – 80%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","18.7","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","50%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","7.0","","","","","","",
"24.12.2017 14:30","17.4","687.6","","-1.9","48","Calm, no wind","0","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","6.2","","","","","","",
"24.12.2017 11:30","12.2","689.5","","0.5","71","Wind blowing from the north-west","1","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","7.1","","","","","","",
"24.12.2017 08:30","5.0","689.0","","1.6","94","Calm, no wind","0","","","50%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","3.2","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","4.1","","","","","","",
"24.12.2017 05:30","5.6","687.4","","","91","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","4.3","","","","","","",
"23.12.2017 20:30","10.4","686.7","","0.5","69","Wind blowing from the south-southeast","1","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","20–30%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","5.0","","","","","","",
"23.12.2017 17:30","14.6","686.2","","-0.1","56","Wind blowing from the south-east","1","","","60%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","20.7","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","60%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","5.9","","","","","","",
"23.12.2017 14:30","19.4","686.3","","-2.2","32","Calm, no wind","0","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","2.0","","","","","","",
"23.12.2017 11:30","12.6","688.5","","-0.3","65","Calm, no wind","0","","","10%  or less, but not 0","Cloud development not observed or not observable. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","6.2","","","","","","",
"23.12.2017 08:30","2.6","688.8","","0.6","98","Calm, no wind","0","","","no clouds","Fog or ice fog in patches. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","1.5","","","","","","","0.5","2.3","","","","","","",
"23.12.2017 05:30","3.6","688.2","","","97","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","3.1","","","","","","",
"22.12.2017 20:30","10.2","689.6","","0.5","74","Wind blowing from the south","1","","","no clouds"," ","","","","","","","","","","4.0","5.7","","","","","","",
"22.12.2017 17:30","15.0","689.1","","-0.7","60","Calm, no wind","0","","","no clouds"," ","","","","23.4","","","","","","4.0","7.3","","","","","","",
"22.12.2017 14:30","19.8","689.8","","-1.8","44","Wind blowing from the south-east","1","","","no clouds"," ","","","","","","","","","","4.0","7.0","","","","","","",
"22.12.2017 11:30","12.4","691.6","","-0.1","78","Wind blowing from the north-west","1","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","","","","","","2.0","8.6","","","","","","",
"22.12.2017 08:30","5.0","691.7","","0.9","97","Calm, no wind","0","","","no clouds","Fog or ice fog. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","3.7","","","","","","","1.0","4.6","","","","","","",
"22.12.2017 05:30","6.5","690.8","","","93","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","5.4","","","","","","",
"21.12.2017 20:30","12.4","691.8","","0.7","78","Wind blowing from the east","1","","","no clouds"," ","","","","","","","","","","4.0","8.6","","","","","","",
"21.12.2017 17:30","17.6","691.1","","-0.2","60","Wind blowing from the south","1","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","23.2","","","","","","2.0","9.7","","","","","","",
"21.12.2017 14:30","22.2","691.3","","-1.9","43","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","9.0","","","","","","",
"21.12.2017 11:30","17.0","693.2","","0.1","54","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","7.6","","","","","","",
"21.12.2017 08:30","8.0","693.1","","1.4","93","Calm, no wind","0","","","20–30%.","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","6.6","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","7.0","","","","","","",
"21.12.2017 05:30","9.6","691.7","","","78","Calm, no wind","0","","","40%.","Cloud development not observed or not observable. ","Rain.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","5.9","","","","","","",
"20.12.2017 20:30","13.0","692.2","","0.9","70","Calm, no wind","0","","","90  or more, but not 100%"," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","60%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","4.0","7.6","","","","","","",
"20.12.2017 17:30","17.2","691.3","","0.3","57","Wind blowing from the south-east","1","","","70 – 80%."," ","","","","24.4","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","4.0","8.5","","","","","","",
"20.12.2017 14:30","21.5","691.0","","-2.6","32","Calm, no wind","0","","","20–30%."," ","","","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","10.0","4.1","","","","","","",
"20.12.2017 11:30","16.4","693.6","","0.2","41","Wind blowing from the west-northwest","1","","","10%  or less, but not 0"," ","","","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","3.2","","","","","","",
"20.12.2017 08:30","5.0","693.4","","1.4","94","Wind blowing from the north-west","1","","","10%  or less, but not 0"," ","","","3.7","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","4.1","","","","","","",
"20.12.2017 05:30","5.8","692.0","","","88","Wind blowing from the south","1","","","no clouds"," ","","","","","","","","","","4.0","4.0","","","","","","",
"19.12.2017 20:30","10.8","692.2","","1.6","72","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","10.0","5.9","","","","","","",
"19.12.2017 17:30","15.2","690.6","","-0.1","53","Wind blowing from the south-east","1","","","no clouds"," ","","","","24.2","","","","","","10.0","5.7","","","","","","",
"19.12.2017 14:30","21.6","690.7","","-2.1","34","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","10.0","5.0","","","","","","",
"19.12.2017 11:30","15.0","692.8","","0.0","53","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","5.4","","","","","","",
"19.12.2017 08:30","4.0","692.8","","1.0","94","Calm, no wind","0","","","no clouds"," ","","","2.5","","","","","","","4.0","3.1","","","","","","",
"19.12.2017 05:30","4.0","691.8","","","91","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","2.6","","","","","","",
"18.12.2017 17:30","14.0","690.7","","-0.3","55","Calm, no wind","0","","","10%  or less, but not 0"," ","","","","24.5","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","5.1","","","","","","",
"18.12.2017 14:30","21.0","691.0","","-1.6","36","Calm, no wind","0","","","10%  or less, but not 0"," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","10.0","5.2","","","","","","",
"18.12.2017 11:30","15.0","692.6","","-0.7","48","Wind blowing from the north-west","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","3.9","","","","","","",
"18.12.2017 08:30","2.4","693.3","","0.5","97","Calm, no wind","0","","","no clouds"," ","","","1.1","","","","","","","4.0","1.9","","","","","","",
"18.12.2017 05:30","3.0","692.8","","","93","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","2.0","","","","","","",
"17.12.2017 20:30","8.4","692.3","","1.1","77","Wind blowing from the south","1","","","no clouds"," ","","","","","","","","","","4.0","4.6","","","","","","",
"17.12.2017 17:30","13.2","691.2","","0.4","58","Wind blowing from the south-east","1","","","no clouds"," ","","","","22.1","","","","","","4.0","5.1","","","","","","",
"17.12.2017 14:30","18.6","690.8","","-2.4","42","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","5.3","","","","","","",
"17.12.2017 11:30","12.5","693.2","","0.1","68","Calm, no wind","0","","","no clouds","Cloud development not observed or not observable. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","4.0","6.8","","","","","","",
