# Weather station Aligarh, India, WMO_ID=42262,selection from 07.12.2015 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42262&lang=en
#
"Local time in Aligarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.06.2018 08:30";"34.6";"735.6";"751.0";"";"46";"Wind blowing from the north-west";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"30.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"21.4";"";"";"";"";"";"";
"19.06.2018 17:30";"38.6";"733.4";"748.6";"";"32";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"40.2";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"19.06.2018 08:30";"32.6";"735.2";"750.7";"";"48";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.8";"";"";"";"";"";"";"2.0";"20.3";"";"";"";"";"";"";
"18.06.2018 17:30";"37.6";"733.1";"748.3";"";"36";"Wind blowing from the south-west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"39.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"20.1";"";"";"";"";"";"";
"18.06.2018 08:30";"32.8";"733.8";"749.3";"";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.6";"";"";"";"";"";"";"2.0";"20.9";"";"";"";"";"";"";
"17.06.2018 17:30";"38.4";"731.3";"746.5";"";"29";"Wind blowing from the north";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"40.2";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"17.06.2018 08:30";"32.6";"734.3";"749.8";"";"54";"Wind blowing from the north";"2";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"30.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"22.1";"";"";"";"";"";"";
"16.06.2018 17:30";"39.6";"731.2";"746.3";"";"28";"Wind blowing from the west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"41.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"17.7";"";"";"";"";"";"";
"15.06.2018 17:30";"39.8";"729.6";"744.6";"";"26";"Wind blowing from the south-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"41.4";"";"";"";"";"";"2.0";"16.7";"";"";"";"";"";"";
"15.06.2018 08:30";"34.8";"732.0";"747.3";"";"40";"Wind blowing from the south-west";"4";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"33.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"19.4";"";"";"";"";"";"";
"14.06.2018 17:30";"39.6";"728.7";"743.7";"";"26";"Wind blowing from the south-west";"3";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"40.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"16.8";"";"";"";"";"";"";
"14.06.2018 08:30";"34.6";"730.6";"745.9";"";"49";"Wind blowing from the west";"4";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"30.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"22.4";"";"";"";"";"";"";
"13.06.2018 17:30";"40.2";"727.5";"742.5";"";"45";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"42.2";"";"";"";"";"";"2.0";"26.2";"";"";"";"";"";"";
"13.06.2018 08:30";"36.6";"728.8";"744.0";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"33.2";"";"";"";"";"";"";"2.0";"24.8";"";"";"";"";"";"";
"12.06.2018 17:30";"40.6";"719.2";"734.0";"";"44";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"42.4";"";"";"";"";"";"2.0";"26.0";"";"";"";"";"";"";
"12.06.2018 08:30";"36.2";"728.9";"744.1";"";"50";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"30.0";"";"";"";"";"";"";"2.0";"24.3";"";"";"";"";"";"";
"11.06.2018 17:30";"39.0";"729.0";"744.1";"";"50";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"41.2";"";"";"";"";"";"2.0";"26.7";"";"";"";"";"";"";
"11.06.2018 08:30";"33.2";"731.2";"746.6";"";"68";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.6";"";"";"";"";"";"";"2.0";"26.6";"";"";"";"";"";"";
"10.06.2018 17:30";"36.6";"730.0";"745.2";"";"59";"Wind blowing from the south-west";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"38.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"27.3";"";"";"";"";"";"";
"10.06.2018 08:30";"31.4";"732.5";"748.0";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.2";"";"";"";"";"";"";"2.0";"24.9";"";"";"";"";"";"";
"09.06.2018 17:30";"37.2";"730.7";"745.9";"";"57";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"38.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"27.4";"";"";"";"";"";"";
"09.06.2018 08:30";"32.2";"732.4";"747.9";"";"73";"Wind blowing from the north-east";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"28.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"26.7";"";"";"";"";"";"";
"08.06.2018 17:30";"37.8";"731.1";"746.3";"";"53";"Wind blowing from the north-east";"3";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"39.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"26.8";"";"";"";"";"";"";
"08.06.2018 08:30";"33.4";"732.6";"748.0";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"30.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.6";"";"";"";"";"";"";
"07.06.2018 17:30";"39.6";"733.1";"748.2";"";"47";"Wind blowing from the north-east";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"40.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"26.4";"";"";"";"";"";"";
"07.06.2018 08:30";"33.2";"735.2";"750.7";"";"59";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"06.06.2018 17:30";"36.0";"735.3";"750.7";"";"54";"Wind blowing from the north-east";"3";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.4";"";"";"";"";"";"";
"06.06.2018 08:30";"33.6";"738.8";"754.3";"";"65";"Wind blowing from the east";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"30.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"26.1";"";"";"";"";"";"";
"05.06.2018 17:30";"39.8";"734.4";"749.5";"";"43";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"05.06.2018 08:30";"34.4";"737.2";"752.7";"";"56";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"29.4";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"04.06.2018 17:30";"39.4";"732.9";"748.0";"";"46";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"04.06.2018 08:30";"34.0";"735.4";"750.9";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.2";"";"";"";"";"";"";"2.0";"24.7";"";"";"";"";"";"";
"03.06.2018 17:30";"37.6";"734.0";"749.2";"";"44";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"03.06.2018 08:30";"30.0";"735.9";"751.6";"";"72";"Wind blowing from the north-east";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"25.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.3";"";"";"";"";"";"";
"02.06.2018 17:30";"37.2";"735.6";"750.9";"";"44";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"38.4";"";"";"";"";"";"4.0";"23.1";"";"";"";"";"";"";
"01.06.2018 17:30";"38.8";"734.9";"750.1";"";"43";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"39.8";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"01.06.2018 08:30";"31.0";"737.4";"753.1";"";"63";"Wind blowing from the east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.6";"";"";"";"";"";"";"2.0";"23.2";"";"";"";"";"";"";
"31.05.2018 17:30";"40.0";"733.7";"748.8";"";"43";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"41.2";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"31.05.2018 08:30";"33.2";"736.3";"751.8";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"27.6";"";"";"";"";"";"";"4.0";"23.1";"";"";"";"";"";"";
"30.05.2018 17:30";"36.4";"732.9";"748.2";"";"47";"Wind blowing from the north-east";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"36.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.4";"";"";"";"";"";"";
"30.05.2018 08:30";"29.4";"734.7";"750.4";"";"78";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.1";"";"";"";"";"";"";
"29.05.2018 17:30";"41.8";"731.5";"746.5";"";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"43.2";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"29.05.2018 08:30";"35.2";"733.6";"749.0";"";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"28.05.2018 17:30";"40.8";"731.8";"746.8";"";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"42.6";"";"";"";"";"";"2.0";"22.5";"";"";"";"";"";"";
"28.05.2018 08:30";"33.6";"734.1";"749.5";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"29.2";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"27.05.2018 17:30";"41.6";"733.4";"748.4";"";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"44.4";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"27.05.2018 08:30";"34.6";"735.0";"750.4";"";"35";"Wind blowing from the west";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"26.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"16.8";"";"";"";"";"";"";
"26.05.2018 17:30";"41.0";"733.7";"748.8";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"44.2";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"26.05.2018 08:30";"34.6";"735.9";"751.3";"";"35";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"25.05.2018 17:30";"41.0";"734.5";"749.6";"";"31";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"43.8";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"25.05.2018 08:30";"33.4";"736.4";"751.9";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"24.05.2018 17:30";"40.2";"734.4";"749.5";"";"38";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"41.6";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"24.05.2018 08:30";"33.4";"736.0";"751.5";"";"62";"Wind blowing from the north-east";"2";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.2";"";"";"";"";"";"";
"23.05.2018 17:30";"40.4";"735.2";"750.3";"";"36";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"42.2";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
