# Weather station Comilla, Bangladesh, WMO_ID=41933,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=41933&lang=en
#
"Local time in Comilla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 06:00";"16.4";"759.7";"760.3";"0.0";"98";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.8";"16.0";"";"";"";"";"";"";
"28.12.2017 03:00";"17.6";"759.7";"760.4";"-0.2";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.8";"17.0";"";"";"";"";"";"";
"28.12.2017 00:00";"19.7";"759.9";"760.6";"-0.1";"85";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"17.0";"";"";"";"";"";"";
"27.12.2017 21:00";"21.0";"760.0";"760.7";"0.7";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"16.0";"";"";"";"";"";"";
"27.12.2017 18:00";"23.4";"759.3";"760.0";"0.6";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"6.0";"15.0";"";"";"";"";"";"";
"27.12.2017 15:00";"26.4";"758.7";"759.4";"-2.0";"52";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"15.6";"";"";"";"";"";"";
"27.12.2017 12:00";"24.2";"760.7";"761.4";"-0.9";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"16.0";"";"";"";"";"";"";
"27.12.2017 09:00";"17.0";"761.6";"762.3";"1.6";"94";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"27.12.2017 06:00";"17.0";"760.0";"760.7";"";"94";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"27.12.2017 03:00";"17.6";"759.7";"760.4";"0.1";"90";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"16.0";"";"";"";"";"";"";
"27.12.2017 00:00";"18.8";"759.6";"760.3";"-0.1";"95";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"18.0";"";"";"";"";"";"";
"26.12.2017 21:00";"21.2";"759.7";"760.3";"1.5";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"18.0";"";"";"";"";"";"";
"26.12.2017 18:00";"23.4";"758.2";"758.8";"0.3";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.0";"";"";"";"";"";"5.0";"18.0";"";"";"";"";"";"";
"26.12.2017 15:00";"25.3";"757.9";"758.5";"-1.5";"56";"Wind blowing from the north-east";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"16.0";"";"";"";"";"";"";
"26.12.2017 12:00";"24.8";"759.4";"760.0";"-1.7";"62";"Wind blowing from the north-east";"1";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"17.0";"";"";"";"";"";"";
"26.12.2017 09:00";"20.0";"761.1";"761.8";"1.4";"88";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.6";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"26.12.2017 06:00";"17.6";"759.7";"760.3";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"17.6";"";"";"";"";"";"";
"26.12.2017 03:00";"18.0";"759.7";"760.3";"";"94";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"17.0";"";"";"";"";"";"";
"26.12.2017 00:00";"18.4";"759.5";"760.2";"0.3";"92";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"25.12.2017 21:00";"19.8";"759.2";"759.9";"0.8";"89";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"25.12.2017 18:00";"23.4";"758.4";"759.1";"0.3";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"5.0";"17.0";"";"";"";"";"";"";
"25.12.2017 15:00";"26.2";"758.1";"758.8";"-1.6";"47";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"5.0";"14.0";"";"";"";"";"";"";
"25.12.2017 12:00";"24.2";"759.7";"760.3";"-0.7";"60";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"16.0";"";"";"";"";"";"";
"25.12.2017 09:00";"19.0";"760.4";"761.1";"1.5";"94";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.0";"";"";"";"";"";"";"3.0";"18.0";"";"";"";"";"";"";
"25.12.2017 06:00";"15.9";"758.9";"759.6";"";"94";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.1";"15.0";"";"";"";"";"";"";
"25.12.2017 03:00";"17.4";"758.8";"759.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"16.0";"";"";"";"";"";"";
"24.12.2017 21:00";"19.6";"758.8";"759.4";"0.9";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"19.0";"";"";"";"";"";"";
"24.12.2017 18:00";"22.4";"757.9";"758.6";"0.2";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.5";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"24.12.2017 15:00";"25.8";"757.7";"758.4";"-2.1";"48";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"14.0";"";"";"";"";"";"";
"24.12.2017 12:00";"24.2";"759.8";"760.5";"-1.2";"60";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"24.12.2017 09:00";"17.8";"761.0";"761.6";"1.7";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.4";"17.8";"";"";"";"";"";"";
"24.12.2017 06:00";"16.8";"759.3";"760.0";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"16.8";"";"";"";"";"";"";
"24.12.2017 03:00";"18.2";"759.9";"760.6";"";"93";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"17.0";"";"";"";"";"";"";
"24.12.2017 00:00";"19.0";"760.3";"761.0";"0.5";"94";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"23.12.2017 21:00";"20.2";"759.8";"760.5";"1.2";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"23.12.2017 18:00";"23.6";"758.6";"759.3";"0.9";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"18.0";"";"";"";"";"";"";
"23.12.2017 15:00";"25.3";"757.7";"758.4";"";"56";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"16.0";"";"";"";"";"";"";
"23.12.2017 12:00";"24.4";"759.7";"760.3";"-1.2";"60";"Wind blowing from the north-east";"3";"";"";"40%.";"Clouds generally forming or developing. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"16.0";"";"";"";"";"";"";
"23.12.2017 09:00";"20.6";"760.9";"761.5";"1.2";"85";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.4";"";"";"";"";"";"";"5.0";"18.0";"";"";"";"";"";"";
"23.12.2017 06:00";"16.7";"759.7";"760.4";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.8";"16.7";"";"";"";"";"";"";
"23.12.2017 03:00";"17.5";"759.9";"760.6";"-0.8";"97";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.8";"17.0";"";"";"";"";"";"";
"23.12.2017 00:00";"19.1";"760.7";"761.4";"";"93";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"18.0";"";"";"";"";"";"";
"22.12.2017 21:00";"20.2";"760.9";"761.5";"1.0";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"22.12.2017 18:00";"22.8";"759.9";"760.6";"0.3";"79";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.2";"";"";"";"";"";"5.0";"19.0";"";"";"";"";"";"";
"22.12.2017 15:00";"24.8";"759.6";"760.3";"-2.1";"62";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"17.0";"";"";"";"";"";"";
"22.12.2017 12:00";"23.6";"761.7";"762.4";"-1.5";"67";"Wind blowing from the north-west";"1";"";"";"60%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.0";"";"";"";"";"";"";
"22.12.2017 09:00";"19.4";"763.2";"763.9";"1.6";"92";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.0";"";"";"";"";"";"";
"22.12.2017 06:00";"17.7";"761.6";"762.3";"-0.1";"100";"Calm, no wind";"0";"";"";"40%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.8";"17.7";"";"";"";"";"";"";
"22.12.2017 03:00";"18.4";"761.7";"762.4";"-0.1";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"17.0";"";"";"";"";"";"";
"22.12.2017 00:00";"19.3";"761.8";"762.4";"0.0";"92";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"21.12.2017 21:00";"20.2";"761.8";"762.5";"0.6";"93";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"19.0";"";"";"";"";"";"";
"21.12.2017 18:00";"23.4";"761.2";"761.8";"-0.1";"76";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.7";"";"";"";"";"";"5.0";"19.0";"";"";"";"";"";"";
"21.12.2017 15:00";"26.2";"761.3";"762.0";"-2.3";"57";"Wind blowing from the north-northwest";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"17.0";"";"";"";"";"";"";
"21.12.2017 12:00";"24.7";"763.6";"764.3";"-1.0";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"21.12.2017 09:00";"18.0";"764.6";"765.3";"1.4";"94";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.4";"17.0";"";"";"";"";"";"";
