# Weather station Medak, India, WMO_ID=43083,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43083&lang=en
#
"Local time in Medak";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"27.2";"717.0";"755.9";"";"38";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.5";"";"";"";"";"";"";
"26.12.2017 08:30";"19.6";"720.7";"760.9";"";"65";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.9";"";"";"";"";"";"";
"25.12.2017 17:30";"30.2";"715.3";"753.7";"";"38";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"32.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"14.4";"";"";"";"";"";"";
"24.12.2017 17:30";"27.8";"716.5";"755.5";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"24.12.2017 08:30";"17.4";"719.7";"760.1";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"23.12.2017 17:30";"27.4";"716.8";"755.8";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"20.0";"12.7";"";"";"";"";"";"";
"23.12.2017 08:30";"19.6";"720.0";"760.1";"";"69";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"9.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.7";"";"";"";"";"";"";
"22.12.2017 17:30";"26.8";"718.6";"757.6";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"20.0";"13.2";"";"";"";"";"";"";
"22.12.2017 08:30";"20.6";"721.6";"761.7";"";"54";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"9.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.8";"";"";"";"";"";"";
"21.12.2017 17:30";"27.2";"719.4";"758.5";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"20.0";"11.5";"";"";"";"";"";"";
"21.12.2017 08:30";"20.2";"722.7";"762.9";"";"51";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"9.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.8";"";"";"";"";"";"";
"20.12.2017 17:30";"26.6";"719.1";"758.2";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"20.0";"10.2";"";"";"";"";"";"";
"20.12.2017 08:30";"19.2";"722.4";"762.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"19.12.2017 17:30";"24.8";"";"758.6";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"20.0";"7.9";"";"";"";"";"";"";
"19.12.2017 08:30";"20.6";"722.2";"762.4";"";"49";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"8.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.4";"";"";"";"";"";"";
"18.12.2017 17:30";"26.8";"720.0";"759.2";"";"45";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"13.7";"";"";"";"";"";"";
"18.12.2017 08:30";"23.2";"722.8";"762.6";"";"56";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.0";"";"";"";"";"";"";
"17.12.2017 17:30";"28.4";"719.4";"758.2";"";"44";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"31.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.0";"";"";"";"";"";"";
"17.12.2017 08:30";"18.0";"722.5";"763.0";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.9";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"16.12.2017 17:30";"27.6";"719.2";"758.2";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"20.0";"15.9";"";"";"";"";"";"";
"16.12.2017 08:30";"22.8";"720.7";"760.5";"";"70";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"13.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"";"";"";"";"";"";
"15.12.2017 17:30";"27.8";"718.9";"757.9";"";"52";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"32.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.0";"";"";"";"";"";"";
"15.12.2017 08:30";"23.6";"720.7";"760.3";"";"75";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.9";"";"";"";"";"";"";
"14.12.2017 17:30";"29.0";"718.0";"757.0";"";"43";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.3";"";"";"";"";"";"";
"14.12.2017 08:30";"23.8";"720.4";"760.0";"";"67";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"14.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.4";"";"";"";"";"";"";
"13.12.2017 17:30";"28.2";"717.1";"755.8";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"20.0";"13.8";"";"";"";"";"";"";
"13.12.2017 08:30";"22.8";"719.8";"759.5";"";"66";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.2";"";"";"";"";"";"";
"12.12.2017 17:30";"28.8";"716.8";"755.5";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"20.0";"12.5";"";"";"";"";"";"";
"12.12.2017 08:30";"22.6";"720.3";"760.0";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"11.12.2017 17:30";"29.2";"716.5";"755.0";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"20.0";"9.6";"";"";"";"";"";"";
"11.12.2017 08:30";"19.6";"720.3";"760.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"10.12.2017 17:30";"26.0";"717.5";"756.7";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"20.0";"12.1";"";"";"";"";"";"";
"10.12.2017 08:30";"22.6";"719.7";"759.4";"";"56";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"12.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.3";"";"";"";"";"";"";
"09.12.2017 17:30";"29.2";"715.7";"754.3";"";"43";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.2";"";"";"";"";"";"";
"09.12.2017 08:30";"22.8";"718.5";"758.2";"";"62";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"13.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.1";"";"";"";"";"";"";
"08.12.2017 17:30";"22.6";"714.7";"753.3";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"20.0";"15.3";"";"";"";"";"";"";
"08.12.2017 08:30";"22.6";"717.7";"757.3";"";"64";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"14.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.3";"";"";"";"";"";"";
"07.12.2017 17:30";"28.4";"715.3";"754.0";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"20.0";"17.3";"";"";"";"";"";"";
"07.12.2017 08:30";"23.8";"717.7";"757.2";"";"67";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.4";"";"";"";"";"";"";
"06.12.2017 20:30";"29.8";"714.7";"753.1";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"20.0";"13.4";"";"";"";"";"";"";
"06.12.2017 17:30";"29.8";"714.7";"753.1";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"20.0";"13.4";"";"";"";"";"";"";
"06.12.2017 08:30";"23.2";"718.0";"757.5";"";"72";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"17.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.8";"";"";"";"";"";"";
"05.12.2017 17:30";"27.6";"714.4";"753.1";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"20.0";"17.5";"";"";"";"";"";"";
"05.12.2017 08:30";"21.2";"718.5";"758.3";"";"79";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.3";"";"";"";"";"";"";
"04.12.2017 17:30";"27.6";"715.1";"754.0";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"20.0";"14.3";"";"";"";"";"";"";
"04.12.2017 08:30";"22.8";"718.9";"758.5";"";"70";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"";"";"";"";"";"";
"03.12.2017 17:30";"27.6";"713.4";"755.2";"";"44";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"31.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"14.3";"";"";"";"";"";"";
"03.12.2017 08:30";"21.2";"719.6";"759.4";"";"68";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"11.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.1";"";"";"";"";"";"";
"02.12.2017 17:30";"25.6";"716.4";"755.5";"";"69";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"19.4";"";"";"";"";"";"";
"01.12.2017 17:30";"29.6";"715.6";"754.1";"";"46";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"70 – 80%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.9";"";"";"";"";"";"";
"01.12.2017 08:30";"22.2";"718.9";"758.5";"";"74";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"14.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.4";"";"";"";"";"";"";
"30.11.2017 17:30";"27.8";"715.9";"754.7";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"20.0";"15.4";"";"";"";"";"";"";
"30.11.2017 08:30";"22.8";"719.7";"759.4";"";"70";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"";"";"";"";"";"";
"29.11.2017 17:30";"27.2";"717.1";"756.0";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"29.11.2017 08:30";"22.2";"719.8";"759.5";"";"61";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"12.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"28.11.2017 17:30";"26.2";"716.5";"755.5";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.7";"";"";"";"";"";"20.0";"11.0";"";"";"";"";"";"";
"28.11.2017 08:30";"22.6";"719.5";"759.1";"";"51";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.0";"";"";"";"";"";"";
"27.11.2017 17:30";"29.4";"716.2";"754.8";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"20.0";"9.9";"";"";"";"";"";"";
"27.11.2017 08:30";"22.2";"720.0";"759.7";"";"58";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"11.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.6";"";"";"";"";"";"";
"26.11.2017 17:30";"26.8";"717.6";"756.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"20.0";"14.1";"";"";"";"";"";"";
"26.11.2017 08:30";"21.6";"721.0";"761.0";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"15.6";"";"";"";"";"";"";
"25.11.2017 17:30";"27.4";"717.3";"756.2";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"20.0";"21.4";"";"";"";"";"";"";
"25.11.2017 08:30";"24.4";"719.6";"759.5";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"24.11.2017 17:30";"30.2";"716.1";"754.5";"";"59";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"34.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"21.3";"";"";"";"";"";"";
"24.11.2017 08:30";"26.2";"718.9";"758.0";"";"55";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"19.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.5";"";"";"";"";"";"";
"23.11.2017 17:30";"30.6";"715.6";"754.0";"";"57";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"21.1";"";"";"";"";"";"";
"22.11.2017 17:30";"30.6";"715.3";"753.7";"";"63";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"22.7";"";"";"";"";"";"";
"22.11.2017 08:30";"25.6";"717.7";"756.9";"";"52";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"19.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.0";"";"";"";"";"";"";
"21.11.2017 17:30";"27.0";"716.1";"755.0";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"21.3";"";"";"";"";"";"";
"21.11.2017 08:30";"26.8";"719.2";"758.3";"";"55";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"18.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.9";"";"";"";"";"";"";
"20.11.2017 17:30";"29.8";"715.0";"755.2";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"20.0";"18.7";"";"";"";"";"";"";
"20.11.2017 08:30";"26.6";"719.3";"758.4";"";"49";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"17.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.1";"";"";"";"";"";"";
"19.11.2017 17:30";"30.2";"716.1";"754.5";"";"61";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"34.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"21.9";"";"";"";"";"";"";
"19.11.2017 08:30";"25.6";"718.3";"757.5";"";"59";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"18.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.9";"";"";"";"";"";"";
"18.11.2017 17:30";"30.6";"715.1";"753.5";"";"45";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.4";"";"";"";"";"";"";
"18.11.2017 08:30";"26.2";"717.4";"756.4";"";"49";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"";"";"";"";"";"";
"17.11.2017 17:30";"29.8";"714.4";"752.8";"";"46";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.8";"";"";"";"";"";"";
"17.11.2017 08:30";"25.6";"716.8";"755.9";"";"55";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.8";"";"";"";"";"";"";
