# Weather station Ongole, India, WMO_ID=43221,selection from 03.03.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43221&lang=en
#
"Local time in Ongole";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 17:30";"27.4";"757.7";"758.7";"0.0";"66";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"32.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"30.12.2017 14:30";"31.0";"757.7";"758.7";"-2.6";"41";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.4";"";"";"";"";"";"";
"30.12.2017 11:30";"27.8";"760.3";"761.3";"-0.4";"63";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.2";"";"";"";"";"";"";
"30.12.2017 08:30";"22.0";"760.7";"761.8";"1.6";"100";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.0";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"30.12.2017 05:30";"20.4";"759.1";"760.1";"-0.3";"87";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"30.12.2017 02:30";"21.8";"759.4";"760.5";"-0.9";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"29.12.2017 23:30";"23.2";"760.3";"761.2";"0.1";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"29.12.2017 20:30";"24.4";"760.2";"761.2";"1.7";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"29.12.2017 17:30";"27.0";"758.5";"759.5";"0.1";"59";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"32.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.2";"";"";"";"";"";"";
"29.12.2017 14:30";"31.2";"758.4";"759.4";"-2.2";"41";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.6";"";"";"";"";"";"";
"29.12.2017 11:30";"27.8";"760.6";"761.5";"-0.6";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"29.12.2017 08:30";"21.4";"761.2";"762.2";"1.9";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.2";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"29.12.2017 05:30";"20.0";"759.3";"760.3";"0.5";"85";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"29.12.2017 02:30";"21.0";"758.8";"759.9";"-0.8";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"28.12.2017 23:30";"22.2";"759.6";"760.6";"0.2";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"28.12.2017 20:30";"24.0";"759.4";"760.3";"1.1";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"28.12.2017 17:30";"26.8";"758.3";"759.3";"-0.4";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"28.12.2017 14:30";"29.6";"758.7";"759.7";"-2.5";"45";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.5";"";"";"";"";"";"";
"28.12.2017 11:30";"26.8";"761.2";"762.1";"0.1";"64";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.4";"";"";"";"";"";"";
"28.12.2017 08:30";"20.6";"761.1";"762.1";"2.0";"89";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.5";"";"";"";"";"";"";"2.0";"18.7";"";"";"";"";"";"";
"28.12.2017 05:30";"20.8";"759.1";"760.1";"0.3";"92";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"19.4";"";"";"";"";"";"";
"28.12.2017 02:30";"21.8";"758.8";"759.8";"-0.9";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"27.12.2017 23:30";"23.0";"759.7";"760.6";"0.4";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"27.12.2017 20:30";"24.4";"759.3";"760.3";"1.1";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"27.12.2017 17:30";"27.2";"758.2";"759.1";"0.1";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"27.12.2017 14:30";"29.8";"758.1";"759.1";"-3.0";"50";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.3";"";"";"";"";"";"";
"27.12.2017 11:30";"27.0";"761.1";"762.1";"-0.4";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"27.12.2017 08:30";"22.4";"761.5";"762.5";"1.5";"90";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.3";"";"";"";"";"";"";"2.0";"20.6";"";"";"";"";"";"";
"27.12.2017 05:30";"21.8";"760.0";"761.1";"0.3";"93";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"20.6";"";"";"";"";"";"";
"27.12.2017 02:30";"22.8";"759.7";"760.6";"-0.5";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"21.0";"";"";"";"";"";"";
"26.12.2017 23:30";"24.0";"760.2";"761.2";"0.2";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"26.12.2017 20:30";"25.0";"760.0";"761.0";"1.7";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"26.12.2017 17:30";"28.8";"758.3";"759.3";"0.1";"59";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"26.12.2017 14:30";"31.4";"758.2";"759.2";"-2.4";"52";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"26.12.2017 11:30";"28.2";"760.6";"761.5";"-0.8";"62";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"26.12.2017 08:30";"22.4";"761.4";"762.4";"1.0";"86";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.8";"";"";"";"";"";"";"2.0";"19.9";"";"";"";"";"";"";
"26.12.2017 05:30";"21.2";"760.4";"761.5";"1.2";"89";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"19.3";"";"";"";"";"";"";
"26.12.2017 02:30";"22.4";"759.2";"760.2";"-0.6";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"25.12.2017 23:30";"23.6";"759.8";"760.8";"-0.2";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"25.12.2017 20:30";"24.8";"760.0";"761.0";"1.5";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"25.12.2017 17:30";"27.0";"758.5";"759.5";"0.4";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"19.3";"";"";"";"";"";"";
"25.12.2017 14:30";"29.2";"758.1";"759.1";"-2.2";"54";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"25.12.2017 11:30";"27.8";"760.3";"761.2";"-0.6";"67";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.2";"";"";"";"";"";"";
"25.12.2017 08:30";"22.0";"760.9";"761.9";"2.1";"84";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.5";"";"";"";"";"";"";"2.0";"19.2";"";"";"";"";"";"";
"25.12.2017 05:30";"21.0";"758.8";"759.9";"0.9";"87";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"18.8";"";"";"";"";"";"";
"25.12.2017 02:30";"22.0";"757.9";"759.0";"-1.4";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"24.12.2017 23:30";"23.4";"759.3";"760.3";"0.4";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"24.12.2017 20:30";"24.2";"758.9";"759.9";"1.3";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"24.12.2017 17:30";"28.8";"757.6";"758.6";"0.0";"54";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"33.3";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"24.12.2017 14:30";"32.6";"757.6";"758.6";"-2.7";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"24.12.2017 11:30";"28.4";"760.3";"761.2";"-0.3";"60";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"24.12.2017 08:30";"22.6";"760.6";"761.6";"1.9";"87";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.8";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"24.12.2017 05:30";"21.4";"758.7";"759.7";"0.1";"93";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"20.2";"";"";"";"";"";"";
"24.12.2017 02:30";"21.8";"758.6";"759.7";"-0.7";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"23.12.2017 23:30";"23.0";"759.3";"760.3";"0.4";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"23.12.2017 20:30";"24.2";"758.9";"759.9";"1.2";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"23.12.2017 17:30";"26.8";"757.7";"758.7";"0.0";"67";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"23.12.2017 14:30";"29.4";"757.7";"758.7";"-2.4";"55";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.3";"";"";"";"";"";"";
"23.12.2017 11:30";"27.4";"760.1";"761.1";"-0.4";"73";"Wind blowing from the north-east";"2";"";"";"40%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"23.12.2017 08:30";"22.6";"760.5";"761.5";"1.4";"90";"Wind blowing from the north";"2";"";"";"40%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"20.8";"";"";"";"";"";"";
"23.12.2017 05:30";"21.8";"759.1";"760.2";"0.0";"87";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.6";"";"";"";"";"";"";
"23.12.2017 02:30";"22.6";"759.1";"760.0";"-1.1";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"22.12.2017 23:30";"23.8";"760.2";"761.2";"-0.1";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"22.12.2017 20:30";"24.6";"760.3";"761.3";"0.9";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"22.12.2017 17:30";"27.4";"759.4";"760.4";"0.1";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"19.7";"";"";"";"";"";"";
"22.12.2017 14:30";"30.8";"759.3";"760.3";"-2.5";"52";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.9";"";"";"";"";"";"";
"22.12.2017 11:30";"28.0";"761.8";"762.8";"-0.1";"66";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.1";"";"";"";"";"";"";
"22.12.2017 08:30";"22.6";"761.9";"762.9";"1.3";"87";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.8";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"22.12.2017 05:30";"22.4";"760.6";"761.5";"-0.3";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"20.6";"";"";"";"";"";"";
"22.12.2017 02:30";"23.2";"760.9";"761.9";"-0.6";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"21.12.2017 23:30";"24.4";"761.5";"762.5";"0.1";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"21.12.2017 20:30";"25.0";"761.4";"762.4";"1.0";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"21.12.2017 17:30";"28.0";"760.4";"761.4";"0.1";"63";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"";"";"";"";"";"";
"21.12.2017 14:30";"30.4";"760.3";"761.2";"-2.7";"52";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"21.12.2017 11:30";"28.2";"763.0";"763.9";"-0.3";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"21.12.2017 08:30";"21.4";"763.3";"764.4";"1.8";"79";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.1";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"21.12.2017 05:30";"19.8";"761.5";"762.6";"0.0";"81";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"16.5";"";"";"";"";"";"";
"21.12.2017 02:30";"21.4";"761.5";"762.4";"-0.4";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"20.12.2017 23:30";"22.6";"761.9";"762.9";"-0.3";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"20.12.2017 20:30";"23.8";"762.2";"763.2";"1.8";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"20.12.2017 17:30";"26.8";"760.4";"761.4";"0.1";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
