# Weather station Midnapore, India, WMO_ID=42803,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42803&lang=en
#
"Local time in Midnapore";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"07.12.2017 08:30";"17.6";"756.4";"760.4";"";"78";"Wind blowing from the north";"1";"";"";"60%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.7";"";"";"";"";"";"";
"06.12.2017 20:30";"23.4";"754.3";"758.2";"";"60";"Calm, no wind";"0";"";"";"60%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"15.1";"";"";"";"";"";"";
"06.12.2017 17:30";"23.4";"754.3";"758.2";"";"60";"Calm, no wind";"0";"";"";"60%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"15.1";"";"";"";"";"";"";
"06.12.2017 08:30";"16.0";"757.1";"761.1";"";"79";"Wind blowing from the north";"1";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"13.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"4.0";"12.4";"";"";"";"";"";"";
"05.12.2017 08:30";"17.0";"758.1";"762.1";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"04.12.2017 17:30";"23.8";"754.6";"758.5";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"04.12.2017 08:30";"16.4";"758.2";"762.2";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"03.12.2017 08:30";"17.8";"759.0";"763.0";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"02.12.2017 17:30";"24.4";"756.4";"760.3";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"02.12.2017 08:30";"17.4";"759.0";"763.0";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"01.12.2017 17:30";"23.4";"755.2";"759.1";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"01.12.2017 08:30";"17.0";"758.4";"762.4";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"30.11.2017 17:30";"24.0";"755.4";"759.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"30.11.2017 08:30";"17.4";"759.0";"763.0";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"29.11.2017 17:30";"24.0";"756.5";"760.4";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.11.2017 08:30";"17.4";"759.3";"763.3";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"28.11.2017 17:30";"24.4";"755.3";"759.2";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"28.11.2017 08:30";"17.6";"757.7";"761.7";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"27.11.2017 17:30";"24.4";"754.3";"758.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"27.11.2017 08:30";"17.4";"758.1";"762.1";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"26.11.2017 17:30";"23.8";"756.1";"760.0";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"26.11.2017 08:30";"17.0";"759.6";"763.6";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"25.11.2017 17:30";"23.4";"756.1";"760.0";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"25.11.2017 08:30";"17.0";"759.0";"763.0";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"24.11.2017 17:30";"23.8";"754.9";"758.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"23.11.2017 17:30";"23.4";"753.7";"757.6";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"23.11.2017 08:30";"17.8";"756.8";"760.8";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"22.11.2017 17:30";"23.4";"753.9";"757.8";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"22.11.2017 08:30";"18.0";"756.9";"760.9";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"21.11.2017 17:30";"25.4";"754.6";"758.5";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"21.11.2017 08:30";"22.4";"757.8";"761.8";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.1";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"20.11.2017 17:30";"27.4";"754.3";"758.2";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"20.11.2017 08:30";"23.6";"757.8";"761.7";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.7";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"19.11.2017 17:30";"28.4";"754.3";"758.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"19.11.2017 08:30";"24.4";"756.8";"760.7";"";"91";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"";"4.0";"22.9";"";"";"";"";"";"";
"18.11.2017 17:30";"26.0";"754.2";"758.1";"";"90";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"27.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.3";"";"";"";"";"";"";
"18.11.2017 08:30";"24.0";"756.1";"760.0";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.1";"";"";"";"";"";"";
"17.11.2017 17:30";"25.4";"753.7";"757.6";"";"88";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.3";"";"";"";"";"";"";
"17.11.2017 08:30";"22.8";"756.1";"760.0";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"Altostratus translucidus.";"";"4.0";"21.9";"";"";"";"";"";"";
"16.11.2017 17:30";"22.8";"754.1";"758.0";"";"96";"Wind blowing from the north-east";"1";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.2";"";"";"";"";"";"";
"16.11.2017 08:30";"21.0";"756.0";"760.0";"";"98";"Wind blowing from the north-east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.7";"";"";"";"";"";"";
"15.11.2017 17:30";"22.0";"754.3";"758.2";"";"98";"Wind blowing from the north-east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"22.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.7";"";"";"";"";"";"";
"15.11.2017 08:30";"21.4";"756.2";"760.2";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"21.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.1";"";"";"";"";"";"";
"14.11.2017 17:30";"26.0";"753.1";"757.0";"";"69";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"19.9";"";"";"";"";"";"";
"14.11.2017 08:30";"21.4";"755.4";"759.4";"";"74";"Wind blowing from the north";"1";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altocumulus translucidus at a single level.";"";"4.0";"16.5";"";"";"";"";"";"";
