# Weather station Dadeldhura, Nepal, WMO_ID=44404,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44404&lang=en
#
"Local time in Dadeldhura";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 17:45";"11.8";"609.5";"";"-1.4";"57";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"18.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"3.4";"No precipitation";"9";"";"";"";"";
"29.12.2017 14:45";"17.5";"610.9";"";"-1.5";"26";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.5";"";"";"";"";"";"";
"29.12.2017 11:45";"16.4";"612.4";"";"0.9";"41";"Wind blowing from the south-southwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.0";"";"";"";"";"";"";
"29.12.2017 08:45";"9.9";"611.5";"";"";"51";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"6.9";"";"";"";"";"";"";"8.0";"0.2";"No precipitation";"24";"";"";"";"";
"29.12.2017 05:45";"6.9";"610.0";"";"";"58";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"7.0";"-0.9";"";"";"";"";"";"";
"28.12.2017 17:45";"12.4";"610.3";"";"-0.6";"58";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"18.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"4.4";"No precipitation";"9";"";"";"";"";
"28.12.2017 14:45";"16.9";"610.9";"";"";"40";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"3.2";"";"";"";"";"";"";
"27.12.2017 14:45";"14.8";"610.3";"";"-1.5";"41";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"1.6";"";"";"";"";"";"";
"27.12.2017 11:45";"15.4";"611.8";"";"0.8";"51";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"5.1";"";"";"";"";"";"";
"27.12.2017 08:45";"9.8";"611.0";"";"";"59";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"5.5";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"2.0";"No precipitation";"24";"";"";"";"";
"27.12.2017 05:45";"6.4";"609.4";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"2.4";"";"";"";"";"";"";
"26.12.2017 17:45";"10.3";"609.5";"";"-0.6";"66";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"17.6";"";"";"";"";"";"8.0";"4.2";"No precipitation";"9";"";"";"";"";
"26.12.2017 14:45";"15.5";"610.1";"";"-1.4";"46";"Wind blowing from the west";"4";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"3.7";"";"";"";"";"";"";
"26.12.2017 11:45";"16.5";"611.5";"";"0.3";"45";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.6";"";"";"";"";"";"";
"26.12.2017 08:45";"8.6";"611.2";"";"1.4";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"8.0";"4.9";"No precipitation";"24";"";"";"";"";
"26.12.2017 05:45";"5.2";"609.8";"";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"3.2";"";"";"";"";"";"";
"25.12.2017 17:45";"9.3";"609.7";"";"0.1";"75";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"15.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"5.1";"No precipitation";"9";"";"";"";"";
"25.12.2017 14:45";"14.3";"609.6";"";"-1.4";"40";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.7";"";"";"";"";"";"";
"25.12.2017 11:45";"12.3";"611.0";"";"0.6";"57";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"4.0";"";"";"";"";"";"";
"25.12.2017 08:45";"7.2";"610.4";"";"1.2";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"3.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"5.0";"No precipitation";"24";"";"";"";"";
"25.12.2017 05:45";"4.8";"609.2";"";"";"92";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"3.6";"";"";"";"";"";"";
"24.12.2017 17:45";"10.5";"608.8";"";"-0.9";"68";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"17.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"4.8";"No precipitation";"9";"";"";"";"";
"24.12.2017 14:45";"16.3";"609.7";"";"-1.0";"35";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.8";"";"";"";"";"";"";
"24.12.2017 11:45";"16.2";"610.7";"";"0.1";"32";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"8.0";"-0.7";"";"";"";"";"";"";
"24.12.2017 08:45";"10.8";"610.6";"";"1.5";"42";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"8.0";"-1.8";"No precipitation";"24";"";"";"";"";
"24.12.2017 05:45";"7.2";"609.1";"";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-1.9";"";"";"";"";"";"";
"23.12.2017 17:45";"11.3";"608.5";"";"0.0";"40";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.6";"";"";"";"";"";"8.0";"-1.9";"No precipitation";"9";"";"";"";"";
"23.12.2017 14:45";"17.5";"608.5";"";"-1.7";"29";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.9";"";"";"";"";"";"";
"23.12.2017 11:45";"19.9";"610.2";"";"0.1";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.5";"";"";"";"";"";"";
"23.12.2017 08:45";"11.6";"610.1";"";"0.7";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"8.0";"2.0";"No precipitation";"24";"";"";"";"";
"23.12.2017 05:45";"8.6";"609.4";"";"";"59";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"1.0";"";"";"";"";"";"";
"22.12.2017 17:45";"12.3";"611.5";"";"-0.3";"43";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"19.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"0.1";"No precipitation";"9";"";"";"";"";
"22.12.2017 14:45";"19.1";"611.8";"";"-1.2";"37";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.0";"";"";"";"";"";"";
"22.12.2017 11:45";"18.2";"613.0";"";"0.4";"46";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"6.4";"";"";"";"";"";"";
"22.12.2017 08:45";"11.4";"612.6";"";"";"62";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"7.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"4.4";"No precipitation";"24";"";"";"";"";
"22.12.2017 05:45";"8.0";"612.4";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"3.8";"";"";"";"";"";"";
"21.12.2017 17:45";"13.2";"612.7";"";"-0.7";"60";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"19.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.5";"No precipitation";"9";"";"";"";"";
"21.12.2017 14:45";"17.0";"613.4";"";"-1.6";"49";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"6.1";"";"";"";"";"";"";
"21.12.2017 11:45";"18.1";"615.0";"";"0.8";"53";"Wind blowing from the east";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"8.3";"";"";"";"";"";"";
"21.12.2017 08:45";"12.4";"614.2";"";"0.7";"62";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"7.7";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"5.2";"No precipitation";"24";"";"";"";"";
"21.12.2017 05:45";"8.8";"613.5";"";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"3.9";"";"";"";"";"";"";
"20.12.2017 17:45";"11.7";"613.0";"";"-0.3";"75";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"18.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"7.4";"No precipitation";"9";"";"";"";"";
"20.12.2017 14:45";"16.1";"613.3";"";"-1.7";"53";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"6.4";"";"";"";"";"";"";
"20.12.2017 11:45";"14.5";"615.0";"";"0.8";"51";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"4.4";"";"";"";"";"";"";
"20.12.2017 08:45";"10.0";"614.2";"";"1.2";"63";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"3.1";"No precipitation";"24";"";"";"";"";
"20.12.2017 05:45";"10.4";"613.0";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-0.7";"";"";"";"";"";"";
"19.12.2017 17:45";"14.7";"612.1";"";"-0.7";"37";"Wind blowing from the west";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"20.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"0.2";"No precipitation";"9";"";"";"";"";
"19.12.2017 14:45";"19.2";"612.8";"";"-1.4";"26";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"-0.8";"";"";"";"";"";"";
"19.12.2017 11:45";"18.2";"614.2";"";"0.4";"30";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.2";"";"";"";"";"";"";
"19.12.2017 08:45";"13.8";"613.8";"";"1.2";"24";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"10.3";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"-6.3";"No precipitation";"24";"";"";"";"";
"19.12.2017 05:45";"11.6";"612.6";"";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-2.4";"";"";"";"";"";"";
"18.12.2017 17:45";"14.0";"612.3";"";"-0.2";"35";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"22.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"-1.2";"No precipitation";"9";"";"";"";"";
"18.12.2017 14:45";"21.0";"612.5";"";"-1.5";"23";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.9";"";"";"";"";"";"";
"18.12.2017 11:45";"19.1";"614.0";"";"0.7";"31";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.7";"";"";"";"";"";"";
"18.12.2017 08:45";"11.6";"613.3";"";"0.6";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.7";"";"";"";"";"";"";"8.0";"0.9";"No precipitation";"24";"";"";"";"";
"18.12.2017 05:45";"10.0";"612.7";"";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-2.5";"";"";"";"";"";"";
"17.12.2017 17:45";"11.7";"612.8";"";"0.0";"41";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"18.5";"";"";"";"";"";"6.0";"-1.3";"No precipitation";"9";"";"";"";"";
"17.12.2017 14:45";"16.2";"612.8";"";"-0.9";"24";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.4";"";"";"";"";"";"";
"17.12.2017 11:45";"16.9";"613.7";"";"1.2";"37";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.2";"";"";"";"";"";"";
"17.12.2017 08:45";"12.2";"612.5";"";"1.0";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.7";"";"";"";"";"";"";"8.0";"-1.4";"No precipitation";"24";"";"";"";"";
"17.12.2017 05:45";"7.2";"611.5";"";"";"48";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-3.1";"";"";"";"";"";"";
"16.12.2017 17:45";"10.5";"613.1";"";"4.9";"41";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"18.3";"";"";"";"";"";"8.0";"-2.3";"No precipitation";"9";"";"";"";"";
"16.12.2017 14:45";"17.5";"608.2";"";"-4.9";"24";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.4";"";"";"";"";"";"";
"16.12.2017 11:45";"16.6";"613.1";"";"";"40";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.0";"";"";"";"";"";"";
"16.12.2017 08:45";"11.2";"611.9";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.9";"";"";"";"";"";"";"8.0";"2.4";"No precipitation";"24";"";"";"";"";
"15.12.2017 17:45";"10.5";"611.0";"";"0.0";"56";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"18.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"1.9";"No precipitation";"9";"";"";"";"";
"15.12.2017 14:45";"16.7";"611.0";"";"-1.5";"32";"Wind blowing from the north-west";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.0";"";"";"";"";"";"";
"15.12.2017 11:45";"16.4";"612.5";"";"0.4";"23";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.9";"";"";"";"";"";"";
"15.12.2017 08:45";"9.6";"612.1";"";"0.9";"53";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"8.0";"0.5";"No precipitation";"24";"";"";"";"";
"15.12.2017 05:45";"6.1";"611.2";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-2.3";"";"";"";"";"";"";
"14.12.2017 17:45";"11.1";"611.4";"";"-0.3";"47";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"19.2";"";"";"";"";"";"8.0";"0.0";"No precipitation";"9";"";"";"";"";
"14.12.2017 14:45";"17.8";"611.7";"";"-0.8";"41";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.3";"";"";"";"";"";"";
"14.12.2017 11:45";"16.0";"612.5";"";"0.7";"45";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.9";"";"";"";"";"";"";
"14.12.2017 08:45";"10.4";"611.8";"";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.3";"";"";"";"";"";"";"8.0";"1.3";"No precipitation";"24";"";"";"";"";
"13.12.2017 17:45";"10.7";"610.2";"";"-0.1";"79";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"15.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"7.2";"No precipitation";"9";"";"";"";"";
