# Weather station Mukteshwar / Kumaon, India, WMO_ID=42147,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42147&lang=en
#
"Local time in Mukteshwar / Kumaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.07.2017 08:30";"16.8";"578.1";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Fog or ice fog or thick haze.";"14.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"1.0";"16.2";"";"";"";"";"";"";
"04.07.2017 17:30";"19.6";"576.3";"";"-0.6";"91";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"Less than  50";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"18.1";"";"";"";"";"";"";
"04.07.2017 14:30";"21.6";"576.9";"";"-0.8";"83";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"Less than  50";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"18.6";"";"";"";"";"";"";
"04.07.2017 11:30";"20.0";"577.7";"";"0.3";"88";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"Less than  50";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"17.9";"";"";"";"";"";"";
"04.07.2017 08:30";"17.8";"577.4";"";"";"98";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.3";"";"";"";"";"";"";"0.05";"17.5";"";"";"";"";"";"";
"03.07.2017 17:30";"19.0";"576.9";"";"-0.9";"93";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.8";"";"";"";"";"";"";
"03.07.2017 14:30";"20.8";"577.8";"";"-1.1";"85";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.1";"";"";"";"";"";"";
"03.07.2017 11:30";"17.6";"578.9";"";"0.2";"96";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.2";"17.0";"";"";"";"";"";"";
"03.07.2017 08:30";"17.0";"578.7";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.3";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"50-100";"Altostratus opacus or Nimbostratus.";"";"1.0";"16.4";"";"";"";"";"";"";
"02.07.2017 17:30";"17.2";"577.6";"";"-0.8";"100";"variable wind direction";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Rain.";"Fog or ice fog or thick haze.";"";"18.7";"";"";"";"";"";"0.05";"17.2";"";"";"";"";"";"";
"02.07.2017 14:30";"17.6";"578.4";"";"-0.6";"95";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.7";"";"";"";"";"";"";
"02.07.2017 11:30";"16.0";"579.0";"";"0.6";"100";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"Less than  50";"";"";"0.05";"16.0";"";"";"";"";"";"";
"02.07.2017 08:30";"16.8";"578.4";"";"";"98";"Wind blowing from the south-east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Fog or ice fog or thick haze.";"15.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"Less than  50";"";"";"0.05";"16.5";"";"";"";"";"";"";
"01.07.2017 17:30";"18.4";"576.6";"";"-1.0";"93";"Wind blowing from the south-west";"1";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"23.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"50-100";"";"";"1.0";"17.2";"";"";"";"";"";"";
"01.07.2017 14:30";"23.0";"577.6";"";"-0.8";"76";"variable wind direction";"1";"";"";"60%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.6";"";"";"";"";"";"";
"01.07.2017 11:30";"20.0";"578.4";"";"-1.1";"86";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.6";"";"";"";"";"";"";
"01.07.2017 08:30";"17.4";"579.5";"";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"15.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.8";"";"";"";"";"";"";
"30.06.2017 17:30";"19.2";"577.1";"";"-0.8";"89";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"21.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.4";"";"";"";"";"";"";
"30.06.2017 14:30";"20.8";"577.9";"";"-0.9";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.1";"";"";"";"";"";"";
"30.06.2017 11:30";"20.0";"578.8";"";"0.1";"85";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"17.4";"";"";"";"";"";"";
"30.06.2017 08:30";"17.8";"578.7";"";"";"82";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.6";"";"";"";"";"";"";
"29.06.2017 17:30";"16.6";"579.0";"";"-0.5";"98";"Wind blowing from the south-west";"1";"";"";"100%.";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"20.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"Less than  50";"";"";"0.5";"16.3";"";"";"";"";"";"";
"29.06.2017 14:30";"19.0";"579.5";"";"-1.3";"91";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Mist. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.5";"";"";"";"";"";"";
"29.06.2017 11:30";"16.4";"580.8";"";"0.4";"96";"variable wind direction";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Fog or ice fog or thick haze.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"Less than  50";"";"";"0.5";"15.8";"";"";"";"";"";"";
"29.06.2017 08:30";"16.4";"580.4";"";"";"96";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.0";"";"";"";"";"";"";"0.05";"15.8";"";"";"";"";"";"";
"28.06.2017 17:30";"20.4";"579.5";"";"-1.0";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"21.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"28.06.2017 14:30";"21.2";"580.5";"";"-0.8";"77";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.0";"";"";"";"";"";"";
"28.06.2017 11:30";"18.6";"581.3";"";"0.6";"95";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.7";"";"";"";"";"";"";
"28.06.2017 08:30";"17.0";"580.7";"";"";"96";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.8";"";"";"";"";"";"";"0.05";"16.4";"";"";"";"";"";"";
"27.06.2017 17:30";"19.4";"579.3";"";"";"88";"variable wind direction";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.3";"";"";"";"";"";"";
"27.06.2017 11:30";"20.4";"581.0";"";"0.0";"76";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.1";"";"";"";"";"";"";
"27.06.2017 08:30";"16.8";"581.0";"";"";"92";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"15.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.5";"";"";"";"";"";"";
"26.06.2017 17:30";"19.2";"579.3";"";"-0.8";"91";"Wind blowing from the south-west";"1";"";"";"60%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"";"23.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.7";"";"";"";"";"";"";
"26.06.2017 14:30";"22.8";"580.1";"";"-0.7";"78";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.7";"";"";"";"";"";"";
"26.06.2017 11:30";"20.0";"580.8";"";"-0.4";"86";"variable wind direction";"1";"";"";"60%.";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.6";"";"";"";"";"";"";
"26.06.2017 08:30";"18.2";"581.2";"";"";"93";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.0";"";"";"";"";"";"";
"25.06.2017 17:30";"20.0";"578.7";"";"-0.7";"89";"Calm, no wind";"0";"";"";"40%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"22.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.2";"";"";"";"";"";"";
"25.06.2017 14:30";"19.0";"579.4";"";"-0.6";"91";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.5";"";"";"";"";"";"";
"25.06.2017 11:30";"19.4";"580.0";"";"0.1";"89";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.6";"";"";"";"";"";"";
"25.06.2017 08:30";"16.8";"579.9";"";"";"96";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"16.1";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"16.2";"";"";"";"";"";"";
"24.06.2017 17:30";"20.0";"577.9";"";"-0.9";"85";"Wind blowing from the south-west";"1";"";"";"60%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"23.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.3";"";"";"";"";"";"";
"24.06.2017 14:30";"21.6";"578.8";"";"-0.8";"76";"Wind blowing from the south-west";"1";"";"";"50%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.1";"";"";"";"";"";"";
"24.06.2017 11:30";"20.0";"579.6";"";"0.3";"78";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.0";"";"";"";"";"";"";
"24.06.2017 08:30";"17.8";"579.3";"";"";"79";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.0";"";"";"";"";"";"";
"23.06.2017 17:30";"19.8";"578.7";"";"-1.1";"78";"variable wind direction";"1";"";"";"40%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"20.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"15.8";"";"";"";"";"";"";
"23.06.2017 14:30";"18.2";"579.8";"";"-0.8";"89";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.3";"";"";"";"";"";"";
"23.06.2017 11:30";"20.0";"580.6";"";"0.3";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.3";"";"";"";"";"";"";
"23.06.2017 08:30";"18.0";"580.3";"";"";"75";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
"22.06.2017 17:30";"19.4";"578.7";"";"-0.7";"81";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.0";"";"";"";"";"";"";
"22.06.2017 14:30";"20.6";"579.4";"";"-0.5";"76";"Wind blowing from the south-west";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"50-100";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.3";"";"";"";"";"";"";
"22.06.2017 11:30";"20.6";"579.9";"";"1.1";"61";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.9";"";"";"";"";"";"";
"22.06.2017 08:30";"17.8";"578.8";"";"";"60";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.9";"";"";"";"";"";"";
"21.06.2017 17:30";"15.0";"577.9";"";"-0.7";"98";"variable wind direction";"1";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"19.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"Less than  50";"";"";"0.2";"14.7";"";"";"";"";"";"";
"21.06.2017 14:30";"17.8";"578.6";"";"-1.0";"90";"Calm, no wind";"0";"";"";"50%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.2";"";"";"";"";"";"";
"21.06.2017 11:30";"19.0";"579.6";"";"0.5";"81";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"21.06.2017 08:30";"16.6";"579.1";"";"";"85";"variable wind direction";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.0";"";"";"";"";"";"";
"20.06.2017 17:30";"16.8";"577.5";"";"-1.2";"79";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.2";"";"";"";"";"";"";
"20.06.2017 14:30";"16.8";"578.7";"";"-1.1";"94";"Wind blowing from the north-east";"2";"";"";"100%.";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"50-100";"Altostratus opacus or Nimbostratus.";"";"1.0";"15.9";"";"";"";"";"";"";
"20.06.2017 11:30";"18.0";"579.8";"";"0.7";"95";"variable wind direction";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"1.0";"17.1";"";"";"";"";"";"";
"20.06.2017 08:30";"16.2";"579.1";"";"";"86";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"14.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.9";"";"";"";"";"";"";
"19.06.2017 17:30";"16.8";"577.8";"";"-0.3";"94";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"21.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"15.9";"";"";"";"";"";"";
"19.06.2017 14:30";"18.0";"578.1";"";"-1.0";"93";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"2.0";"16.8";"";"";"";"";"";"";
