# Weather station Baripada, India, WMO_ID=42894,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42894&lang=en
#
"Local time in Baripada";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.12.2017 08:30";"16.4";"763.2";"768.1";"";"98";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.2";"";"";"";"";"";"";"0.5";"16.1";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"760.5";"765.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"2.0";"18.2";"";"";"";"";"";"";
"20.12.2017 08:30";"16.4";"763.6";"768.5";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"2.0";"15.0";"";"";"";"";"";"";
"19.12.2017 08:30";"18.0";"763.0";"767.8";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"18.12.2017 17:30";"21.8";"760.2";"765.0";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"17.12.2017 17:30";"21.6";"759.9";"764.7";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"2.0";"12.5";"";"";"";"";"";"";
"17.12.2017 08:30";"20.2";"763.3";"768.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"16.12.2017 17:30";"25.4";"759.2";"763.9";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"2.0";"18.5";"";"";"";"";"";"";
"15.12.2017 17:30";"25.0";"759.0";"763.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"2.0";"19.8";"";"";"";"";"";"";
"15.12.2017 08:30";"22.4";"761.7";"766.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"14.12.2017 17:30";"25.4";"758.8";"763.5";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"2.0";"21.2";"";"";"";"";"";"";
"14.12.2017 08:30";"21.4";"761.4";"766.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"13.12.2017 17:30";"26.2";"757.1";"761.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"2.0";"21.7";"";"";"";"";"";"";
"13.12.2017 08:30";"22.6";"760.6";"765.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"12.12.2017 17:30";"26.2";"757.1";"761.8";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"2.0";"22.0";"";"";"";"";"";"";
"12.12.2017 08:30";"21.2";"";"764.7";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"11.12.2017 08:30";"24.0";"";"764.2";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"10.12.2017 08:30";"21.0";"";"762.7";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"18.4";"";"";"";"600-1000";"";"";"4.0";"20.1";"";"";"";"";"";"";
"09.12.2017 17:30";"20.0";"";"758.9";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"20.5";"";"";"600-1000";"";"";"2.0";"19.0";"";"";"";"";"";"";
"09.12.2017 08:30";"21.2";"";"763.2";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"4.0";"17.7";"";"";"";"";"";"";
"08.12.2017 17:30";"22.2";"";"761.1";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"23.0";"";"";"600-1000";"";"";"2.0";"18.7";"";"";"";"";"";"";
"08.12.2017 08:30";"20.0";"";"764.2";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"18.2";"";"";"";"600-1000";"";"";"4.0";"16.7";"";"";"";"";"";"";
"07.12.2017 17:30";"24.0";"";"760.7";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.6";"";"";"600-1000";"";"";"2.0";"19.0";"";"";"";"";"";"";
"07.12.2017 08:30";"17.6";"";"763.0";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"13.4";"";"";"";"600-1000";"";"";"4.0";"14.5";"";"";"";"";"";"";
"06.12.2017 17:30";"23.8";"";"760.2";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"25.4";"";"";"2500 or more, or no clouds.";"";"";"2.0";"17.0";"";"";"";"";"";"";
"06.12.2017 08:30";"18.2";"";"763.6";"";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.3";"";"";"";"";"";"";
"05.12.2017 17:30";"22.4";"";"760.3";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"2.0";"16.9";"";"";"";"";"";"";
"04.12.2017 17:30";"22.6";"";"758.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"16.7";"";"";"";"";"";"";
"04.12.2017 08:30";"17.0";"";"764.8";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"03.12.2017 17:30";"22.4";"";"761.9";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"18.6";"";"";"";"";"";"";
"03.12.2017 08:30";"17.6";"";"765.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"02.12.2017 17:30";"22.4";"";"762.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"2.0";"16.9";"";"";"";"";"";"";
"29.11.2017 08:30";"17.8";"";"765.5";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"26.11.2017 08:30";"18.4";"761.4";"766.2";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"25.11.2017 17:30";"22.8";"757.7";"762.4";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"17.0";"";"";"";"";"";"";
"25.11.2017 08:30";"17.6";"760.6";"765.4";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"24.11.2017 08:30";"15.6";"759.5";"764.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"23.11.2017 17:30";"23.0";"755.0";"759.7";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
"23.11.2017 08:30";"18.6";"758.4";"763.2";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"22.11.2017 17:30";"23.0";"755.4";"760.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"2.0";"16.5";"";"";"";"";"";"";
"22.11.2017 08:30";"20.2";"758.7";"763.5";"";"69";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"21.11.2017 08:30";"23.0";"";"764.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"20.11.2017 17:30";"28.6";"";"760.6";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"2.0";"23.6";"";"";"";"";"";"";
"20.11.2017 08:30";"24.0";"";"764.2";"";"91";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.5";"";"";"";"";"";"";
"17.11.2017 17:30";"23.8";"";"759.6";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"24.0";"";"";"600-1000";"";"";"2.0";"23.2";"";"";"";"";"";"";
"17.11.2017 08:30";"22.2";"";"762.4";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"4.0";"21.9";"";"";"";"";"";"";
"16.11.2017 17:30";"23.0";"";"760.0";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"23.2";"";"";"600-1000";"";"";"2.0";"22.7";"";"";"";"";"";"";
"16.11.2017 08:30";"22.4";"";"762.7";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.2";"";"";"";"600-1000";"";"";"4.0";"22.4";"";"";"";"";"";"";
"15.11.2017 17:30";"22.4";"";"760.4";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"22.8";"";"";"600-1000";"";"";"2.0";"22.4";"";"";"";"";"";"";
"15.11.2017 08:30";"22.0";"";"762.7";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.6";"";"";"";"600-1000";"";"";"4.0";"21.7";"";"";"";"";"";"";
"14.11.2017 17:30";"26.0";"";"759.4";"";"72";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"27.4";"";"";"600-1000";"";"";"2.0";"20.5";"";"";"";"";"";"";
"14.11.2017 08:30";"24.4";"757.1";"761.8";"";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.9";"";"";"";"";"";"";
"12.11.2017 08:30";"20.8";"757.2";"762.0";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"11.11.2017 08:30";"21.6";"759.4";"764.2";"";"";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"";"";"";"";"";"";"";
"10.11.2017 17:30";"26.2";"755.6";"760.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"20.1";"";"";"";"";"";"";
"10.11.2017 08:30";"22.0";"758.7";"763.5";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"09.11.2017 08:30";"21.6";"758.5";"763.3";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"08.11.2017 08:30";"24.0";"759.6";"764.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"07.11.2017 17:30";"27.4";"755.9";"760.6";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"2.0";"21.4";"";"";"";"";"";"";
"07.11.2017 08:30";"23.4";"";"763.9";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"";"760.6";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"2.0";"21.4";"";"";"";"";"";"";
"06.11.2017 08:30";"25.4";"";"763.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"05.11.2017 17:30";"28.4";"";"760.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"2.0";"23.1";"";"";"";"";"";"";
"05.11.2017 08:30";"24.0";"";"763.9";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"04.11.2017 17:30";"28.4";"";"760.8";"";"66";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.4";"";"";"2500 or more, or no clouds.";"";"";"2.0";"21.5";"";"";"";"";"";"";
"04.11.2017 08:30";"23.4";"";"763.9";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"03.11.2017 17:30";"26.4";"";"760.3";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"2.0";"21.6";"";"";"";"";"";"";
"03.11.2017 08:30";"22.6";"";"763.3";"";"86";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"02.11.2017 17:30";"26.2";"";"759.9";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.8";"";"";"2500 or more, or no clouds.";"";"";"2.0";"21.4";"";"";"";"";"";"";
"02.11.2017 08:30";"24.6";"";"763.7";"";"80";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"01.11.2017 17:30";"26.0";"";"760.9";"";"79";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"27.4";"";"";"600-1000";"";"";"4.0";"22.1";"";"";"";"";"";"";
"31.10.2017 17:30";"25.6";"";"761.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"2.0";"23.3";"";"";"";"";"";"";
"31.10.2017 08:30";"22.4";"758.6";"763.3";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"20.5";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"30.10.2017 17:30";"28.0";"756.0";"760.6";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"2.0";"24.3";"";"";"";"";"";"";
"30.10.2017 08:30";"24.0";"759.5";"764.2";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"29.10.2017 17:30";"23.6";"756.7";"761.4";"";"";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"";"";"";"";"";"";"";
"26.10.2017 08:30";"26.0";"759.6";"764.3";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"25.10.2017 17:30";"27.0";"756.7";"761.4";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"2.0";"24.1";"";"";"";"";"";"";
"25.10.2017 08:30";"25.0";"758.4";"763.1";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"24.10.2017 08:30";"26.4";"756.8";"761.5";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"23.10.2017 17:30";"30.0";"752.9";"757.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"23.10.2017 08:30";"26.0";"755.3";"760.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"23.1";"";"";"";"";"";"";
"22.10.2017 17:30";"29.0";"752.3";"756.9";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"2.0";"26.2";"";"";"";"";"";"";
"22.10.2017 08:30";"24.0";"754.5";"759.2";"";"95";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"21.10.2017 17:30";"25.6";"750.8";"755.5";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"24.7";"";"";"";"";"";"";
"21.10.2017 08:30";"25.4";"750.8";"755.5";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.4";"";"";"";"600-1000";"";"";"4.0";"24.1";"";"";"";"";"";"";
"20.10.2017 17:30";"25.2";"744.9";"749.5";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.2";"";"";"";"";"";"";
"20.10.2017 08:30";"25.4";"748.8";"753.4";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"4.0";"25.4";"";"";"";"";"";"";
"19.10.2017 17:30";"26.2";"750.0";"754.6";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.5";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"19.10.2017 08:30";"28.2";"753.4";"758.0";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"4.0";"26.5";"";"";"";"";"";"";
"18.10.2017 17:30";"26.2";"751.2";"755.8";"";"98";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"25.9";"";"";"";"";"";"";
"18.10.2017 08:30";"27.6";"753.5";"758.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.6";"";"";"";"600-1000";"";"";"4.0";"24.4";"";"";"";"";"";"";
"17.10.2017 08:30";"27.0";"753.4";"758.0";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"16.10.2017 17:30";"31.0";"750.0";"754.6";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"16.10.2017 08:30";"27.0";"753.4";"758.0";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.3";"";"";"";"";"";"";
"15.10.2017 17:30";"30.6";"750.0";"754.6";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"15.10.2017 08:30";"27.4";"753.4";"758.0";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"14.10.2017 17:30";"26.0";"750.0";"754.6";"";"94";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"4.0";"24.9";"";"";"";"";"";"";
"13.10.2017 17:30";"29.8";"749.6";"754.2";"";"94";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.4";"";"";"600-1000";"";"";"4.0";"28.7";"";"";"";"";"";"";
"12.10.2017 17:30";"30.6";"750.3";"754.9";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.4";"";"";"600-1000";"";"";"4.0";"28.4";"";"";"";"";"";"";
"12.10.2017 08:30";"28.0";"753.3";"757.9";"";"92";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"11.10.2017 17:30";"24.6";"750.4";"755.1";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.5";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"11.10.2017 08:30";"27.2";"752.9";"757.5";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"4.0";"26.4";"";"";"";"";"";"";
"10.10.2017 17:30";"28.2";"749.2";"753.8";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"25.9";"";"";"";"";"";"";
"10.10.2017 08:30";"28.0";"752.1";"756.7";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"4.0";"26.0";"";"";"";"";"";"";
"09.10.2017 17:30";"26.4";"749.9";"754.5";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.5";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"09.10.2017 08:30";"28.2";"752.7";"757.3";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"4.0";"25.1";"";"";"";"";"";"";
"08.10.2017 17:30";"26.6";"750.9";"755.5";"";"92";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.2";"";"";"";"";"";"";
"08.10.2017 08:30";"27.6";"753.4";"758.0";"";"92";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"4.0";"26.2";"";"";"";"";"";"";
"07.10.2017 17:30";"26.0";"751.6";"756.2";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"2.0";"26.0";"";"";"";"";"";"";
"07.10.2017 08:30";"28.6";"754.7";"759.3";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.6";"";"";"";"600-1000";"";"";"4.0";"26.9";"";"";"";"";"";"";
"06.10.2017 17:30";"28.0";"751.8";"756.4";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"27.2";"";"";"";"";"";"";
"06.10.2017 08:30";"28.4";"755.7";"760.3";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.4";"";"";"";"600-1000";"";"";"4.0";"25.0";"";"";"";"";"";"";
"05.10.2017 17:30";"29.0";"751.9";"756.5";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"";"";"600-1000";"";"";"4.0";"25.6";"";"";"";"";"";"";
